Metadata_JCP2022	Metadata_repurposing_name	Metadata_repurposing_moa	Metadata_repurposing_target
JCP2022_000005	I-BET-762	bromodomain inhibitor	BRD2|BRD3|BRD4
JCP2022_000088	erlotinib	EGFR inhibitor	EGFR|NR1I2
JCP2022_000135	bretylium	norepinephrine inhibitor	ATP1A1
JCP2022_000207	A-867744	acetylcholine receptor allosteric modulator	CHRNA3|CHRNA4|CHRNA7
JCP2022_000214	AG-1024	insulin growth factor receptor inhibitor	IGF1R
JCP2022_000269	butenafine	fungal squalene epoxidase inhibitor	SQLE
JCP2022_000391	CK-636	actin related protein inhibitor	ACTR2|ACTR3|ARPC1B|ARPC2|ARPC3|ARPC4|ARPC5
JCP2022_000401	LY3023414	mTOR inhibitor|PI3K inhibitor	MTOR
JCP2022_000405	bilastine	histamine receptor antagonist	HRH1
JCP2022_000425	ibuprofen-piconol	cyclooxygenase inhibitor	PTGS1|PTGS2
JCP2022_000432	guanethidine	adrenergic inhibitor	SLC6A2
JCP2022_000438	hexachlorophene	potassium channel activator	GLUD1|SDHD
JCP2022_000476	CaCCinh-A01	calcium-activated chloride channel inhibitor	CLCA1
JCP2022_000511	ciproxifan	histamine receptor antagonist	ADRA2A|ADRA2C|HRH3|HRH4|HTR3A
JCP2022_000519	ivabradine	HCN channel blocker|potassium channel blocker|sodium channel blocker	HCN1|HCN3|HCN4
JCP2022_000541	dimercaptosuccinic-acid	chelating agent	DNMT1
JCP2022_000554	gabazine	GABA receptor antagonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRG2
JCP2022_000555	gabazine	GABA receptor antagonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRG2
JCP2022_000556	rutaecarpine	cyclooxygenase inhibitor	PTGS2
JCP2022_000561	valsartan	angiotensin receptor antagonist	AGTR1
JCP2022_000568	binimetinib	MEK inhibitor	MAP2K1|MAP2K2
JCP2022_000623	donepezil	acetylcholinesterase inhibitor	ACHE
JCP2022_000632	equol	estrogen receptor agonist	ESR1|ESR2
JCP2022_000783	rostafuroxine	ATPase inhibitor	ATP1A1
JCP2022_000794	NVP-AEW541	IGF-1 inhibitor	IGF1R|INSR
JCP2022_000856	tranylcypromine	monoamine oxidase inhibitor	KDM1A|MAOA|MAOB
JCP2022_000885	rotundine	serotonin receptor agonist	DRD1|DRD2|DRD3|HTR1A
JCP2022_000950	PHTPP	estrogen receptor antagonist	ESR2
JCP2022_000971	acamprosate	glutamate receptor antagonist	GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GRIN1|GRIN2A|GRIN2B|GRIN2C|GRIN2D|GRIN3A|GRIN3B|GRM5
JCP2022_001036	GSK2110183	AKT inhibitor	AKT1|AKT2|AKT3
JCP2022_001047	elafibranor	PPAR receptor agonist	PPARA|PPARD|PPARG
JCP2022_001077	BIMU-8	serotonin receptor agonist	HTR4
JCP2022_001111	carmoxirole	dopamine receptor agonist	DRD2
JCP2022_001121	EHop-016	Ras GTPase inhibitor	RAC1|RAC3
JCP2022_001132	pumosetrag	serotonin receptor agonist	HTR3A|HTR4
JCP2022_001138	CHC	monocarboxylate transporter inhibitor	SLC16A1
JCP2022_001165	HJC-0350	GTPase inhibitor	RAPGEF4
JCP2022_001180	thioctic-acid	reducing agent	ACHE|PTGS2
JCP2022_001279	clarithromycin	bacterial 50S ribosomal subunit inhibitor	CYP3A4
JCP2022_001376	VU0357121	glutamate receptor positive allosteric modulator	GRM5
JCP2022_001398	ipragliflozin-L-proline	sodium/glucose cotransporter inhibitor	SLC5A2
JCP2022_001400	ORG-27569	cannabinoid receptor modulator	CNR1
JCP2022_001418	palbociclib	CDK inhibitor	CDK4|CDK6
JCP2022_001423	orlistat	lipase inhibitor	CNR1|DAGLA|DAGLB|FASN|LIPF|PNLIP
JCP2022_001454	paroxetine	selective serotonin reuptake inhibitor (SSRI)	CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HTR2A|SLC6A2|SLC6A4
JCP2022_001524	EMD-1214063	hepatocyte growth factor receptor inhibitor	MET
JCP2022_001567	tanshinone-I	AP inhibitor	IFNG
JCP2022_001608	brigatinib	ALK tyrosine kinase receptor inhibitor|EGFR inhibitor	ALK|EGFR
JCP2022_001628	hesperetin	ACAT inhibitor	DGAT1|MTTP|SOAT1|SOAT2
JCP2022_001689	abarelix	gonadotropin releasing factor hormone receptor antagonist	GNRHR
JCP2022_001694	ISO-1	macrophage migration inhibiting factor inhibitor	MIF
