family,codec,n,df,t_critical_0.975,test_pa_mean_nap_mean,test_pa_mean_nap_sd,test_pa_mean_nap_se,test_pa_mean_nap_ci95_low,test_pa_mean_nap_ci95_high,test_pc_mean_nap_mean,test_pc_mean_nap_sd,test_pc_mean_nap_se,test_pc_mean_nap_ci95_low,test_pc_mean_nap_ci95_high
cell_count,Raw,5,4,2.7764451051977987,0.25008638558406915,0.010026831594283369,0.004484135408752041,0.2376364297773954,0.2625363413907429,0.01054479300318214,0.004237313516811189,0.001894984213113703,0.005283473360255498,0.01580611264610878
cellprofiler,Raw,5,4,2.7764451051977987,0.5578690453138373,0.013669324795801657,0.006113107889987187,0.5408963368351364,0.5748417537925382,0.04932080377180424,0.0045633760818281285,0.0020408038251728674,0.04365462398073409,0.054986983562874396
dinov2,Raw,5,4,2.7764451051977987,0.3249422196251868,0.03785879825427983,0.016930969288604013,0.27793431281758796,0.3719501264327857,0.03576984434680314,0.003715765439969319,0.0016617408224431623,0.031156112174223455,0.04038357651938282
dinov2,HQ,5,4,2.7764451051977987,0.31825112982360854,0.037272942440440285,0.016668966603652274,0.2719706590881926,0.36453160055902445,0.03434247996845546,0.004605278280705412,0.0020595430581921317,0.028624271725593807,0.04006068821131711
dinov2,MQ,5,4,2.7764451051977987,0.29644542277889363,0.0369864724997686,0.01654085335148183,0.2505206514553773,0.34237019410241,0.029926999833593742,0.004939525159185127,0.002209022806501683,0.02379376927521184,0.036060230391975645
dinov2,D20,5,4,2.7764451051977987,0.23668113467270357,0.037010657099455196,0.0165516690332634,0.19072633420244542,0.2826359351429617,0.022159743970105557,0.004462122309108067,0.0019955217614167934,0.01661928734330421,0.027700200596906904
dinov2_random,Raw,5,4,2.7764451051977987,0.04213346414705546,0.0201627032195709,0.00901703500182288,0.0170981614528471,0.06716876684126383,0.00470776535926822,0.002103352725360408,0.0009406479349130637,0.002096108004664427,0.0073194227138720135
dinov2_random,HQ,5,4,2.7764451051977987,0.0471962176472896,0.02159699271334414,0.009658468763321024,0.020380009325661107,0.0740124259689181,0.0072562649085495395,0.00270844876276798,0.0012112551094248809,0.0038932815888410048,0.010619248228258073
dinov2_random,MQ,5,4,2.7764451051977987,0.05566254917970117,0.019574698824535216,0.008754071442149194,0.0313573503735942,0.07996774798580814,0.00638057955403568,0.0036853493927007314,0.0016481383525832804,0.0018046138923170675,0.010956545215754293
dinov2_random,D20,5,4,2.7764451051977987,0.04340713022386879,0.022427539465354945,0.010029900562518589,0.015559661901443401,0.07125459854629418,0.0048604602248808,0.002248821559524275,0.0010057035752726736,0.00206817945603506,0.00765274099372654
morphem,Raw,5,4,2.7764451051977987,0.5305493973513276,0.007784295411212849,0.0034812427392823214,0.5208839179878417,0.5402148767148134,0.04855820009006364,0.0047311283910490675,0.0021158249385329845,0.042683728296018304,0.054432671884108975
morphem,HQ,5,4,2.7764451051977987,0.5191835924353729,0.006958717354242353,0.003112033008058677,0.5105432036229345,0.5278239812478114,0.04987205431844558,0.006348715832969345,0.002839232034469731,0.04198908243382131,0.057755026203069854
morphem,MQ,5,4,2.7764451051977987,0.48677681909649867,0.007800192603981154,0.0034883521800185913,0.47709160076108,0.49646203743191736,0.04847956978426794,0.004471347635652811,0.0019996474528705295,0.04292765840162432,0.05403148116691157
morphem,D20,5,4,2.7764451051977987,0.39576760045569015,0.00819886639683653,0.0036666445203530494,0.3855873632246556,0.4059478376867247,0.03559978895281372,0.004145255629437348,0.0018538146743071176,0.030452774274389867,0.04074680363123757
openphenom,Raw,5,4,2.7764451051977987,0.35814433328208495,0.021601095504444064,0.009660303587280407,0.3313230306724555,0.3849656358917144,0.030392857535947122,0.004910380627538936,0.0021959889757150273,0.024295814693254807,0.03648990037863944
openphenom,HQ,5,4,2.7764451051977987,0.3567714099207187,0.019024171406412667,0.0085078680960693,0.3331497811897186,0.3803930386517188,0.030274471317641438,0.0034778974006418675,0.0015553630013210073,0.02595609132581797,0.034592851309464906
openphenom,MQ,5,4,2.7764451051977987,0.32464441374492126,0.024007148575085294,0.010736323231965586,0.294835601659709,0.3544532258301335,0.0259739183033249,0.0032959979946469427,0.0014740151139467103,0.021881396255219978,0.03006644035142982
openphenom,D20,5,4,2.7764451051977987,0.2576872393078403,0.017139486671625587,0.007665011459441286,0.23640575575998954,0.27896872285569113,0.020162559354376598,0.0034606249944251176,0.0015476385464338787,0.01586562588751482,0.024459492821238375
subcell,Raw,5,4,2.7764451051977987,0.29780844574881427,0.03594092820045045,0.01607327172612928,0.25318188914028844,0.3424350023573401,0.03507631327837797,0.003576498844115862,0.001599458907378498,0.03063550342402192,0.03951712313273402
subcell,HQ,5,4,2.7764451051977987,0.2982977026607345,0.03593767717294073,0.016071817822427586,0.2536751827360247,0.34292022258544436,0.034688950062851644,0.004522972888625815,0.0020227349678711816,0.029072937462193277,0.04030496266351001
subcell,MQ,5,4,2.7764451051977987,0.2948777393883356,0.036344475778269644,0.0162537436893611,0.24975011228086938,0.3400053664958019,0.032139902416660766,0.0018864676674034326,0.0008436539883339079,0.02979754343027049,0.034482261403051044
subcell,D20,5,4,2.7764451051977987,0.2662214935884383,0.03094975930453631,0.01384115313843996,0.2277922917069235,0.30465069546995305,0.028949180657291063,0.0025669989598359768,0.0011479968344728993,0.025761830465436213,0.03213653084914591
