sample_id,family,codec,config,pa,pc,product,pa_units,pc_targets,treatment_wells,control_wells,total_wells
0,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2850074978924452,0.009643027797792107,0.0027483352247560247,370,77,1480,5753,7233
1,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2596078200792034,-0.013427550610187224,-0.0034858971429138825,370,65,1480,5753,7233
2,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.23323886603520985,-0.02464653753837236,-0.005748530467144202,370,88,1480,5625,7105
3,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2633385276950806,-0.030259146252498943,-0.007968399023443188,370,55,1480,5433,6913
4,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2711952885028087,-0.005799923046955572,-0.0015729118040132056,370,56,1480,5657,7137
5,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2217507231136007,-0.00986242568355183,-0.002187000026981766,370,82,1480,5785,7265
6,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2387319414092762,-0.040067615445887446,-0.009565419623037011,370,63,1480,5721,7201
7,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.22693133063910823,-0.003547221191742926,-0.0008049756251134654,370,49,1480,5561,7041
8,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.23877319327278906,0.03645635513498385,0.008704800330666935,370,81,1480,5529,7009
9,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.24329727408034424,0.015191312774391418,0.0036960049877113434,370,77,1480,5753,7233
10,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2427121952234371,0.04081768797098685,0.0099069506513835,370,85,1480,5753,7233
11,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.24882429554963215,0.03438500711550217,0.008555825172983917,370,44,1480,5433,6913
12,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2530468304037117,0.006031860949959527,0.0015263432948231796,370,92,1480,5785,7265
13,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2449895812341363,0.03223026955759326,0.007896080241978106,370,80,1480,5849,7329
14,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.25121774950878506,7.493893558398765e-05,1.8825990747993188e-05,370,93,1480,5753,7233
15,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.24532322796015857,-0.020590047420153332,-0.005051216896964751,370,67,1480,5625,7105
16,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2452881829621971,0.038515818525100304,0.009447475141323583,370,58,1480,5785,7265
17,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2184851684889396,0.021007406266218945,0.004589806697590452,370,76,1480,5689,7169
18,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.24926942308277542,0.007181396170927166,0.0017901024804558672,370,54,1480,5785,7265
19,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2418325597098752,0.03913908853839953,0.009465105965952595,370,98,1480,5593,7073
20,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2155092380608371,0.0199913881857882,0.004308328835697635,370,59,1480,5689,7169
21,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.26365915260405565,0.060548155575093625,0.01596407539066771,370,58,1480,5913,7393
22,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.22888064897944088,-0.02477941590265626,-0.005671528793131443,370,87,1480,5785,7265
23,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2774494492865318,0.05189514179430665,0.01439827851147686,370,71,1480,5817,7297
24,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2729576178113876,0.03537891437853188,0.00965694418951711,370,77,1480,5465,6945
25,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.23591894735709656,0.005402117699514761,0.0012744619211686626,370,109,1480,5785,7265
26,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.221060658146497,0.006407678784464502,0.0014164856892850688,370,74,1480,5066,6546
27,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2516880749989761,-0.0010419642820279913,-0.0002622499843613154,370,48,1480,5785,7265
28,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2444580171939141,-0.0010366209523455096,-0.0002534103025920502,370,61,1480,5721,7201
29,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.21672375787513853,0.026745411355586224,0.0057963660548990496,370,101,1480,5753,7233
30,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2428821735686681,0.024390012185009077,0.005923899172861304,370,68,1480,5561,7041
31,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.25932843172194386,0.03356422839610217,0.008704158711918313,370,72,1480,5913,7393
32,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.23769545397921757,-0.0135926453440275,-0.0032309100058271144,370,81,1480,5817,7297
33,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.24336454391592477,-0.023249538650646,-0.0056581133699701285,370,59,1480,5913,7393
34,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.25666817785686963,0.003315347700803069,0.0008509442533270859,370,80,1480,5785,7265
35,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2267480978471913,-0.01799271318715816,-0.004079813490298188,370,54,1480,5625,7105
36,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.24190258891785937,-0.007971079085860141,-0.0019282246673385719,370,57,1480,5657,7137
37,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2444904499794827,-0.014779218809683229,-0.0036133778571246873,370,64,1480,5593,7073
38,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.24764689571098264,0.03191254601598858,0.007903042955093458,370,86,1480,5561,7041
39,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2543322099517696,-0.0061198063024247825,-0.0015564638613724624,370,65,1480,5753,7233
40,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2539873874381736,0.0709178255887675,0.018012233244087114,370,84,1480,5753,7233
41,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.21778431946392252,-0.0011784376600369984,-0.00025664524382181496,370,103,1480,5945,7425
42,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.25345803678469664,0.008955627247619167,0.0022698757003570902,370,69,1480,5977,7457
43,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.24148026874126635,0.046285139682495625,0.011176947969256095,370,61,1480,5375,6855
44,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.21633955908330615,0.03753762374521528,0.008120872970074917,370,72,1480,5785,7265
45,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2483511328446056,0.02964769063622181,0.0073630375557320925,370,84,1480,5753,7233
46,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.23050814738857672,0.0161157126401735,0.0037148030645330616,370,71,1480,5753,7233
47,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.22443365291223943,-0.025889539366525334,-0.005810483892244506,370,69,1480,5689,7169
48,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.23360339072024702,0.0035545722299093457,0.0008303601254668527,370,71,1480,5753,7233
49,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2509337195824427,0.032414016083307136,0.00813376962238938,370,64,1480,5529,7009
50,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.23390530014076755,0.022568424339837002,0.005278874068913778,370,65,1480,5881,7361
51,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.20319509372099967,-0.024601387319855977,-0.0049988812021247485,370,69,1480,5625,7105
52,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.26069559255235764,-9.97824603610613e-05,-2.6012847630159012e-05,370,60,1480,5689,7169
53,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.21480180732315418,0.007510157986521416,0.0016131955087872207,370,64,1480,5913,7393
54,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.19608447268429183,-0.04138942674120502,-0.008115823917254314,370,64,1480,5753,7233
55,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.23744524235045192,0.16085590308081607,0.03819446889052518,370,69,1480,5657,7137
56,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.23175424273066345,0.05706501886931612,0.013225060234469378,370,70,1480,5913,7393
57,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.22431865005807922,-0.015784652875048648,-0.0035407920245662918,370,75,1480,5529,7009
58,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.22632356217644617,6.457833149312644e-05,1.4615598022935752e-05,370,68,1480,5849,7329
59,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2539873285763877,0.011455424209810145,0.0029095325927589563,370,86,1480,5561,7041
60,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.25457731083882895,0.0006980200233159081,0.00017770006044742057,370,52,1480,5689,7169
61,dinov2,HQ,std_ctrl__tvn_efaar_e0.1_c304,0.2225396608438569,0.026353500720939976,0.005864699112486321,370,73,1480,5657,7137
