sample_id,family,codec,config,pa,pc,product,pa_units,pc_targets,treatment_wells,control_wells,total_wells
0,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.2542744809093447,0.0004256165295362484,0.00010822342211426634,370,77,1480,5753,7233
1,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.2347787039224692,-0.016138289168591297,-0.0037889266145278875,370,65,1480,5753,7233
2,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.20865589091347958,0.018187191597779005,0.0037948646660487285,370,88,1480,5625,7105
3,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.2353080765542745,-0.011459190962762732,-0.0026964401843158235,370,55,1480,5433,6913
4,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.25294174210551373,0.0032647392518723346,0.0008257888338888399,370,56,1480,5657,7137
5,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.19836104269140561,-0.015452528291838664,-0.0030651796241875622,370,82,1480,5785,7265
6,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.22788516791125696,0.031795988367994195,0.0072458341481447305,370,63,1480,5721,7201
7,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.19975009149485928,-0.01048723660195411,-0.0020948264707685705,370,49,1480,5561,7041
8,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.2076535830322329,0.04823777870657309,0.010016747585935851,370,81,1480,5529,7009
9,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.22188013536711776,0.011844261005171976,0.0026280062351510323,370,77,1480,5753,7233
10,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.20098215290861954,0.04933152325183292,0.009914755749415003,370,85,1480,5753,7233
11,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.2303963953802845,-0.009285198061018959,-0.002139276163650775,370,44,1480,5433,6913
12,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.22406504351413456,-0.028234324685386385,-0.0063263251892233035,370,92,1480,5785,7265
13,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.22086827976639317,0.058881748022310366,0.013005110395325915,370,80,1480,5849,7329
14,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.21838225572925737,0.0015828438687325948,0.0003456650145210486,370,93,1480,5753,7233
15,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.2241273375882057,0.002083860409420906,0.0004670500854689759,370,67,1480,5625,7105
16,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.2239418540812949,0.03494778635489195,0.007826272072351483,370,58,1480,5785,7265
17,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.20094257172559632,-0.0083714373554005,-0.0016821781512339014,370,76,1480,5689,7169
18,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.23451631641165413,0.0018911225256762888,0.00044349908860470704,370,54,1480,5785,7265
19,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.23919531724379212,0.08390689986517669,0.020070137532194037,370,98,1480,5593,7073
20,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.19902422348458237,-0.030921633436679887,-0.006154154083610113,370,59,1480,5689,7169
21,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.22607832579000017,0.05426193834076022,0.01226744817419929,370,58,1480,5913,7393
22,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.214924611148577,-0.026288115638516206,-0.005649963031436922,370,87,1480,5785,7265
23,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.24946831271063358,0.106824822106425,0.026649408126503432,370,71,1480,5817,7297
24,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.2246112207729742,0.09129204995653269,0.020505218787604154,370,77,1480,5465,6945
25,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.20936816893548393,-0.012204452496695963,-0.002555223872093329,370,109,1480,5785,7265
26,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.20325805783471249,0.0013460210284474176,0.00027358962004690436,370,74,1480,5066,6546
27,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.23462392235136123,-0.008916072509213729,-0.0020919239040808686,370,48,1480,5785,7265
28,dinov2,MQ,std_ctrl__tvn_efaar_e0.1_c304,0.22527540644321928,0.05372312853037276,0.012102499615081034,370,61,1480,5721,7201
