sample_id,family,codec,config,pa,pc,product,pa_units,pc_targets,treatment_wells,control_wells,total_wells
0,dinov2,Raw,std_ctrl__tvn_efaar_e0.1_c304,0.27600296714779093,0.007818353113793367,0.0021578886576161397,370,77,1480,5753,7233
1,dinov2,Raw,std_ctrl__tvn_efaar_e0.1_c304,0.25667115429327525,-0.013434436280266396,-0.003448232267335431,370,65,1480,5753,7233
2,dinov2,Raw,std_ctrl__tvn_efaar_e0.1_c304,0.23113012986520384,-0.014838167836691063,-0.003429547659056096,370,88,1480,5625,7105
3,dinov2,Raw,std_ctrl__tvn_efaar_e0.1_c304,0.25525597262159605,-0.012381980603148792,-0.0031605745018384816,370,55,1480,5433,6913
4,dinov2,Raw,std_ctrl__tvn_efaar_e0.1_c304,0.26458192158251564,0.045192433528841884,0.011957100904051094,370,56,1480,5657,7137
5,dinov2,Raw,std_ctrl__tvn_efaar_e0.1_c304,0.21722799176233828,-0.04504546993288632,-0.009785136971511687,370,82,1480,5785,7265
6,dinov2,Raw,std_ctrl__tvn_efaar_e0.1_c304,0.24262064716198492,0.042929068378314256,0.010415478352007707,370,63,1480,5721,7201
7,dinov2,Raw,std_ctrl__tvn_efaar_e0.1_c304,0.23350908532303707,0.00033398059297663676,7.798750278161999e-05,370,49,1480,5561,7041
8,dinov2,Raw,std_ctrl__tvn_efaar_e0.1_c304,0.24316227631808576,0.03307443154328995,0.008042454061993082,370,81,1480,5529,7009
9,dinov2,Raw,std_ctrl__tvn_efaar_e0.1_c304,0.22963673617406172,-0.003205846783861222,-0.0007361801921200037,370,77,1480,5753,7233
10,dinov2,Raw,std_ctrl__tvn_efaar_e0.1_c304,0.23024652391654374,0.02686096388663404,0.006184643563945302,370,85,1480,5753,7233
11,dinov2,Raw,std_ctrl__tvn_efaar_e0.1_c304,0.2454724714776043,0.05072433199305311,0.012451427138385261,370,44,1480,5433,6913
12,dinov2,Raw,std_ctrl__tvn_efaar_e0.1_c304,0.24938509592245606,-0.020823808048761126,-0.005193147367711106,370,92,1480,5785,7265
