sample_id,family,codec,config,pa,pc,product,pa_units,pc_targets,treatment_wells,control_wells,total_wells
0,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.3272065186374357,0.007859915718140747,0.002571815658916494,370,77,1480,5753,7233
1,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.2911171431556982,-0.016877866634740744,-0.004913436317268603,370,65,1480,5753,7233
2,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.25654681849265654,0.01731952663034,0.0044432694548125675,370,88,1480,5625,7105
3,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.2776710533264411,0.09359523974052408,0.025988688805092103,370,55,1480,5433,6913
4,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.2995818337067974,0.12004015563239004,0.03596184994280075,370,56,1480,5657,7137
5,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.2640178048327284,-0.02089600838606402,-0.005516918263854907,370,82,1480,5785,7265
6,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.2770946875617479,-0.015764591025902358,-0.004368284424861148,370,63,1480,5721,7201
7,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.2758441074673278,0.012876961154914057,0.0035520338566687186,370,49,1480,5561,7041
8,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.27253338088178425,0.030526167414198974,0.008319399610755,370,81,1480,5529,7009
9,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.2606612048137882,0.01728520260274045,0.004505581735880753,370,77,1480,5753,7233
10,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.2745619884462426,0.008385881853589598,0.0023024443965968225,370,85,1480,5753,7233
11,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.2938987112226579,0.15700406475639211,0.04614329228862237,370,44,1480,5433,6913
12,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.2862187419109714,0.04523876068813496,0.0129481811697695,370,92,1480,5785,7265
13,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.27728680054021176,0.05710232607272209,0.015833721300109023,370,80,1480,5849,7329
14,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.281212810274694,-0.002334910417391377,-0.000656606720214288,370,93,1480,5753,7233
15,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.2910940735693649,-0.01591431029228008,-0.004632561411026678,370,67,1480,5625,7105
16,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.2857089187083298,0.03278533845156704,0.009367063598483846,370,58,1480,5785,7265
17,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.259629610479566,-0.0039758958333783795,-0.0010322602865273582,370,76,1480,5689,7169
18,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.2844557371752535,-0.011816547059388113,-0.00336128460464432,370,54,1480,5785,7265
19,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.2846348810422826,0.14018227016731966,0.039900763793312144,370,98,1480,5593,7073
20,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.2631154010008308,-0.028785432657522935,-0.007573890656666558,370,59,1480,5689,7169
21,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.28198221580341437,0.0666414674950795,0.01879170866865373,370,58,1480,5913,7393
22,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.2608212121438723,0.01064735592321992,0.0027770562780214583,370,87,1480,5785,7265
23,morphem,D20,std_ctrl__tvn_efaar_e1.0_c304,0.3088370690303185,0.057286712124636825,0.017692260266956448,370,71,1480,5817,7297
