sample_id,family,codec,config,pa,pc,product,pa_units,pc_targets,treatment_wells,control_wells,total_wells
0,morphem,Raw,std_ctrl__tvn_efaar_e1.0_c304,0.39980178935087696,0.11045480317818952,0.044160027953039103,370,77,1480,5753,7233
1,morphem,Raw,std_ctrl__tvn_efaar_e1.0_c304,0.374515128242232,-0.001356022872721823,-0.0005078510800768134,370,65,1480,5753,7233
2,morphem,Raw,std_ctrl__tvn_efaar_e1.0_c304,0.3238638974939323,-0.0007311503210102132,-0.00023679319261630738,370,88,1480,5625,7105
3,morphem,Raw,std_ctrl__tvn_efaar_e1.0_c304,0.3721058706968029,-0.018861108466312494,-0.007018329188164051,370,55,1480,5433,6913
4,morphem,Raw,std_ctrl__tvn_efaar_e1.0_c304,0.3887768480295682,0.06356706530893243,0.024713403289296457,370,56,1480,5657,7137
5,morphem,Raw,std_ctrl__tvn_efaar_e1.0_c304,0.344154977572837,-0.019625255059673195,-0.006754129214923034,370,82,1480,5785,7265
6,morphem,Raw,std_ctrl__tvn_efaar_e1.0_c304,0.36353680462873816,0.03594474485226956,0.013067237686789362,370,63,1480,5721,7201
7,morphem,Raw,std_ctrl__tvn_efaar_e1.0_c304,0.37313276816175384,0.003940175605179887,0.001470208630604185,370,49,1480,5561,7041
8,morphem,Raw,std_ctrl__tvn_efaar_e1.0_c304,0.3672919521345379,0.07479735268183949,0.027472465681008338,370,81,1480,5529,7009
9,morphem,Raw,std_ctrl__tvn_efaar_e1.0_c304,0.3426997023979707,0.008350410848204738,0.00286168331258055,370,77,1480,5753,7233
10,morphem,Raw,std_ctrl__tvn_efaar_e1.0_c304,0.35253317183789257,0.08508502606706168,0.029995294115331025,370,85,1480,5753,7233
11,morphem,Raw,std_ctrl__tvn_efaar_e1.0_c304,0.3820631583146229,0.06714442286827675,0.025653410264266405,370,44,1480,5433,6913
12,morphem,Raw,std_ctrl__tvn_efaar_e1.0_c304,0.38565839798929935,0.017097738748618606,0.006593886535031819,370,92,1480,5785,7265
13,morphem,Raw,std_ctrl__tvn_efaar_e1.0_c304,0.3626476814288901,0.07946137118068944,0.028816482021837453,370,80,1480,5849,7329
14,morphem,Raw,std_ctrl__tvn_efaar_e1.0_c304,0.37059040578052416,0.002902756754969428,0.001075733803706278,370,93,1480,5753,7233
15,morphem,Raw,std_ctrl__tvn_efaar_e1.0_c304,0.3696657044168333,0.04583270743383191,0.0169427800788581,370,67,1480,5625,7105
