sample_id,family,codec,config,pa,pc,product,pa_units,pc_targets,treatment_wells,control_wells,total_wells
0,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.3137900708674244,0.0011193434115176596,0.000351238848425111,370,77,1480,5753,7233
1,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.2961082214771714,-0.020386204416098175,-0.006036522732320889,370,65,1480,5753,7233
2,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.27259974501912654,-0.03032240793177513,-0.00826588067056784,370,88,1480,5625,7105
3,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.29396036049968083,0.03317448602841124,0.009751983872303393,370,55,1480,5433,6913
4,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.30741628066646665,0.017617039348565098,0.0054157647128906744,370,56,1480,5657,7137
5,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.2810133662118348,-0.042486316183700294,-0.011939222728721974,370,82,1480,5785,7265
6,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.2817414714907638,0.049901514372717636,0.014059326088986964,370,63,1480,5721,7201
7,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.28545616002879426,0.007974815133611111,0.0022764601049801436,370,49,1480,5561,7041
8,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.28838782770183846,0.0027039021446402054,0.0007797724658111311,370,81,1480,5529,7009
9,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.26444343322299446,0.0009901499677644064,0.00026183865688125693,370,77,1480,5753,7233
10,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.283232736933349,0.027256763536562006,0.007720007736405566,370,85,1480,5753,7233
11,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.30828795647437884,0.03108232504841132,0.009582306471647125,370,44,1480,5433,6913
12,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.2861515843339416,0.028563520188400394,0.008173496556065299,370,92,1480,5785,7265
13,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.29755749479997495,0.047133022076784103,0.01402478397151979,370,80,1480,5849,7329
14,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.27948916609472857,0.005858782581547232,0.001637466258046957,370,93,1480,5753,7233
15,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.29300794843506084,-0.008213095644632674,-0.0024065023051347534,370,67,1480,5625,7105
16,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.2941823825900545,0.024744139635704137,0.007279289953172447,370,58,1480,5785,7265
17,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.2576622632482017,-0.000796947436875777,-0.00020534328027526605,370,76,1480,5689,7169
18,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.2849241420588752,0.054033239933984324,0.015395374530851836,370,54,1480,5785,7265
19,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.29399865356262195,0.054522445528477674,0.016029525574313835,370,98,1480,5593,7073
20,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.26482188706614135,0.02366159880043037,0.006266109245331917,370,59,1480,5689,7169
21,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.2970266353935341,0.04138162789112772,0.012291445699608893,370,58,1480,5913,7393
22,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.2727535394496469,-0.0008255484136934333,-0.0002251712518219253,370,87,1480,5785,7265
23,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.3009551379623404,0.10328289264377989,0.03108351720475837,370,71,1480,5817,7297
24,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.3099178777296098,0.05625652855600363,0.017434903938511836,370,77,1480,5465,6945
25,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.27947247365217304,0.003191289291772954,0.0008918775125114788,370,109,1480,5785,7265
26,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.26480884545846817,0.019205494978500832,0.005085784951715213,370,74,1480,5066,6546
27,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.2762071533689879,0.004191986728058234,0.0011578567211175425,370,48,1480,5785,7265
28,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.2972403143131721,0.10537798884736273,0.03132258652668004,370,61,1480,5721,7201
29,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.27098483274183455,-0.03135861479833693,-0.008497708986142952,370,101,1480,5753,7233
30,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.3037481661454753,0.013138056160987389,0.003990660465616183,370,68,1480,5561,7041
31,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.29896801896586045,-0.01629249814627226,-0.0048709358947959715,370,72,1480,5913,7393
32,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.29022413483214676,0.005925352682459623,0.001719680355842184,370,81,1480,5817,7297
33,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.28553703716846907,0.013663052119499903,0.003901307420880374,370,59,1480,5913,7393
34,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.29638072080540795,-0.009143405355849678,-0.002709929069982755,370,80,1480,5785,7265
35,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.27211532324251064,-0.014850870610208868,-0.004041149456529687,370,54,1480,5625,7105
36,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.28859405196547794,-0.015199028658261659,-0.004386349266427153,370,57,1480,5657,7137
37,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.29675964112963715,0.013597096417138474,0.004035069453155089,370,64,1480,5593,7073
38,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.290359896538969,0.049832033168414856,0.014469223995107408,370,86,1480,5561,7041
39,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.29350513275228524,0.09863944511900113,0.028951183434264182,370,65,1480,5753,7233
40,openphenom,Raw,std_all__tvn_efaar_e0.2_c150,0.29557312630477933,0.03858919136754892,0.011405927934079836,370,84,1480,5753,7233
