sample_id,family,codec,config,pa,pc,product,pa_units,pc_targets,treatment_wells,control_wells,total_wells
0,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.29845143857167256,0.022588672369313334,0.006741621764045756,370,77,1480,5753,7233
1,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2945559462116211,-0.017319039857368462,-0.005101426172663947,370,65,1480,5753,7233
2,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2589782599272909,-0.016365911500799298,-0.00423841528260104,370,88,1480,5625,7105
3,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2772571994609676,0.0016109064318511118,0.0004466354058886993,370,55,1480,5433,6913
4,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2997571343632134,0.025038396367029536,0.007505437944031066,370,56,1480,5657,7137
5,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.25406918789335975,-0.029244488271795818,-0.007430123385572047,370,82,1480,5785,7265
6,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2685980751881352,-0.01397512410249941,-0.0037536914344466574,370,63,1480,5721,7201
7,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2571494755283994,-0.022679767642363645,-0.005832090354339774,370,49,1480,5561,7041
8,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2662977274570257,0.02834203932725193,0.007547420664344838,370,81,1480,5529,7009
9,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.26614982233543777,0.033369968804141,0.008881411268561228,370,77,1480,5753,7233
10,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.25428011186283084,0.005105887556604203,0.0012983256590523528,370,85,1480,5753,7233
11,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.28269821241422294,0.01487450219248184,0.004204995180366056,370,44,1480,5433,6913
12,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2778111096502022,0.01397839391561032,0.0038833531248233383,370,92,1480,5785,7265
13,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.27275959103804276,0.04489369311382926,0.012245185373915465,370,80,1480,5849,7329
14,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2587019630309022,0.01161036091444176,0.003003623160063344,370,93,1480,5753,7233
15,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.27486484627191526,-0.03351526618264208,-0.009212168487054235,370,67,1480,5625,7105
16,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2682985807832237,0.02809374055545424,0.007537510719920468,370,58,1480,5785,7265
17,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.23247444596071717,0.017793035339619723,0.004136426032537556,370,76,1480,5689,7169
18,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2724449298086007,-0.02561587118020434,-0.006978914225676929,370,54,1480,5785,7265
19,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2720445778900643,0.08178949642418121,0.022250389030557302,370,98,1480,5593,7073
20,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.26197674712971375,0.02994579259928763,0.007845101335382429,370,59,1480,5689,7169
21,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2761944708464972,0.0572751893983745,0.015819090628516948,370,58,1480,5913,7393
22,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.263847204129345,-0.011492769415209644,-0.0030323350779063118,370,87,1480,5785,7265
23,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2927872849566658,0.037417989683291575,0.01095551160790747,370,71,1480,5817,7297
24,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.28223018999806815,0.03115330602273788,0.008792403477865272,370,77,1480,5465,6945
25,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.26624354124280997,-0.0030015016236015143,-0.0007991304213137108,370,109,1480,5785,7265
26,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.24384452449270938,-0.017056492222070087,-0.004159132235404276,370,74,1480,5066,6546
27,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.27764393444487023,0.011120457205081402,0.0030875274912446054,370,48,1480,5785,7265
28,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.27819058563405885,-0.01715939445883361,-0.004773581993628747,370,61,1480,5721,7201
29,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2528157906371712,0.03860701135178511,0.009760462099039796,370,101,1480,5753,7233
30,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2786393058454228,0.02265476694430433,0.006312508535450788,370,68,1480,5561,7041
31,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2800110341099233,0.018188487301869512,0.00509297713829169,370,72,1480,5913,7393
32,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.27759898930491006,0.04948960343667871,0.013738263895122813,370,81,1480,5817,7297
33,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2750422814823794,0.052763299241843864,0.014512138202014236,370,59,1480,5913,7393
34,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.28511751232936977,-0.016321051335420753,-0.004653417555355104,370,80,1480,5785,7265
35,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.26869032808793486,-0.0001401317362164255,-3.7652042179523307e-05,370,54,1480,5625,7105
36,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.27845593057918727,-0.030100027961571834,-0.008381531296499042,370,57,1480,5657,7137
37,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2786750801919919,-0.01736413424016324,-0.004838951501842003,370,64,1480,5593,7073
38,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.26737219837621484,-0.03099876613585891,-0.00828820824869476,370,86,1480,5561,7041
39,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.27760747872611696,-0.00417749624411007,-0.0011597041997152197,370,65,1480,5753,7233
40,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.29574984216137545,0.033996254393118965,0.0100543868708429,370,84,1480,5753,7233
41,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.24690459344745655,-0.014109386686065052,-0.0034836723835158477,370,103,1480,5945,7425
42,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2790665502141503,-0.01801895028052659,-0.005028486293266851,370,69,1480,5977,7457
43,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.27267735835895524,-0.026514803097273845,-0.007229986465972477,370,61,1480,5375,6855
44,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.24144912972711008,0.04893453435503324,0.011815200733624145,370,72,1480,5785,7265
45,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2744245907181054,-0.0008100594046416891,-0.00022230022057614763,370,84,1480,5753,7233
46,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.26053586184171834,0.01775696941799625,0.004626327331014688,370,71,1480,5753,7233
47,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.25560203824628974,0.009865199727551918,0.0025215651580690127,370,69,1480,5689,7169
48,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.27450192995962075,-0.00630553807171769,-0.0017308823701203714,370,71,1480,5753,7233
49,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.27901882063959754,0.0002083695239420021,5.813901882753181e-05,370,64,1480,5529,7009
50,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2444822553627512,-0.02443125283811966,-0.005973007795201111,370,65,1480,5881,7361
51,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2368129304838491,-0.0033821800699495876,-0.0008009439737888316,370,69,1480,5625,7105
52,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2894181428977779,0.0039761223789062565,0.0011507619548373435,370,60,1480,5689,7169
53,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.24737023516105924,0.05011539075602367,0.01239705599650595,370,64,1480,5913,7393
54,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.23089551959168353,0.03626304763011176,0.008372975224532623,370,64,1480,5753,7233
55,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2774549613994351,0.18450681605495725,0.051192331526460834,370,69,1480,5657,7137
56,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2715608323110405,0.0522974935713934,0.014201950882028882,370,70,1480,5913,7393
57,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.24919734331613944,-0.00043902054418348786,-0.00010940275327173098,370,75,1480,5529,7009
58,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.25536382254236234,-0.013293394024517177,-0.003394651912662504,370,68,1480,5849,7329
59,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2817522627250508,-0.005106317357399982,-0.0014387164696396467,370,86,1480,5561,7041
60,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2887418943312218,-0.034200871473250405,-0.009875224416964968,370,52,1480,5689,7169
61,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.252192064299688,0.028746464899778258,0.007249630324393602,370,73,1480,5657,7137
62,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.25400665209648493,-0.0254754423889121,-0.006470931831884441,370,48,1480,5849,7329
63,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2682669842768843,0.0022825677295369297,0.000612337561210607,370,53,1480,5721,7201
64,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2537315982573316,0.08439229354106904,0.02141299152077733,370,82,1480,5753,7233
65,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.28264953384252356,0.03555538961195206,0.010049714299407554,370,56,1480,5497,6977
66,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2744437530367277,-0.0357809607880402,-0.009819861165929743,370,81,1480,5785,7265
67,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2966128475656292,-0.03248194705886293,-0.00963456281160535,370,114,1480,6009,7489
68,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2591309064947314,0.01849481598363142,0.004792578431291657,370,81,1480,5785,7265
69,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2695984649686396,0.014014107576006454,0.0037781818903967227,370,56,1480,5913,7393
70,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2944116906480142,0.06314160044349999,0.018589625336792235,370,60,1480,5785,7265
71,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.27448095895341557,-0.028690384255007393,-0.007874964183056405,370,73,1480,5663,7143
72,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2529634548166721,-0.04716973804278327,-0.011932219898099864,370,75,1480,5881,7361
73,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.26094224611502864,0.02506820092007673,0.0065413526541476495,370,45,1480,5625,7105
74,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.277497358457389,-0.03305670197966666,-0.00917314747867064,370,130,1480,5657,7137
75,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.25192238404638173,0.12253620024649856,0.030869611698082746,370,74,1480,5785,7265
76,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2938294145552487,-0.04938499505590358,-0.014510764185090001,370,77,1480,5625,7105
77,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2630727286926877,-0.019013645732128607,-0.005001971665147148,370,98,1480,5849,7329
78,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2750741406836462,0.03731245306199837,0.010263690962828085,370,98,1480,5849,7329
79,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2730482463055292,0.0075667252736935685,0.0020660810662577545,370,102,1480,5753,7233
80,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2882940384690876,0.0418605429267749,0.012068144972868535,370,68,1480,5817,7297
81,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2358013959236112,-0.019285922945273364,-0.004547647552170663,370,69,1480,5625,7105
82,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.27073703921436204,-0.017917335883131495,-0.004850886467608268,370,67,1480,5689,7169
83,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2578429089554716,-0.04995770294515792,-0.012881239452112846,370,97,1480,5753,7233
84,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.25743688519368485,0.016205289776721664,0.00417183932378029,370,77,1480,5817,7297
85,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.23190129718728136,0.004280306965280882,0.0009926087376083924,370,90,1480,5785,7265
86,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2644333860159978,0.028217245029901212,0.007461581647299863,370,117,1480,5945,7425
87,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.24363936453682752,0.03533428197883447,0.008608822007688307,370,55,1480,5657,7137
88,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2906818546647786,0.0914496176592879,0.026582744469586694,370,80,1480,5753,7233
89,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.28162826973687427,-0.021221729448900946,-0.0059766389455180435,370,73,1480,5721,7201
90,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2496213046379749,0.025819845921552842,0.006445183624489516,370,64,1480,5721,7201
91,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.32747076917962403,0.01122122472510647,0.003674623091868031,370,83,1480,5849,7329
92,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.21986032141754672,0.049779451403439985,0.010944526185549463,370,58,1480,5625,7105
93,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2705990308335971,0.004678965138154196,0.001266123431688713,370,81,1480,5785,7265
94,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.27044145567729083,0.00803927601119224,0.0021741535070583535,370,61,1480,5561,7041
95,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2754939790817673,0.027797689192785923,0.007658096004998834,370,66,1480,5753,7233
96,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.27804707976781745,0.023628502201405804,0.00656983603638833,370,47,1480,5689,7169
97,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.27835926578876363,0.027467476072025505,0.007645826472479453,370,85,1480,5689,7169
98,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2846280227540427,0.03238941400849606,0.009218934867400327,370,73,1480,5625,7105
99,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.27967652232038437,-0.0035575117373495327,-0.000994952510815866,370,62,1480,5785,7265
100,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.25744025256643205,0.037499923483856834,0.00965398977290598,370,52,1480,5689,7169
101,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.2693749709171972,-0.010440932133456517,-0.002812525789798279,370,72,1480,5433,6913
102,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.26847430458940835,0.021536056507310115,0.005781877794398285,370,72,1480,5753,7233
103,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.256496717423246,0.07077516352547072,0.01815359711937669,370,79,1480,5497,6977
104,subcell,D20,std_ctrl__tvn_efaar_e0.2_c96,0.30800334443775995,0.02450739044708453,0.007548358221144044,370,78,1480,5625,7105
