sample_id,family,codec,config,pa,pc,product,pa_units,pc_targets,treatment_wells,control_wells,total_wells
0,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.3051622745613475,-0.0077080704064295446,-0.00235221229770505,370,77,1480,5753,7233
1,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.3037893431441549,-0.022279214227817222,-0.006768187856036504,370,65,1480,5753,7233
2,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.2781213908180561,-0.016094532239858957,-0.004476233691115617,370,88,1480,5625,7105
3,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.29749120621224373,0.014429377308706172,0.004292612860458578,370,55,1480,5433,6913
4,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.315650194008547,0.005121029419320556,0.0016164539297320102,370,56,1480,5657,7137
5,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.2691152392162389,-0.02289568913908318,-0.006161578859685013,370,82,1480,5785,7265
6,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.28644576781617487,-0.009532787121506429,-0.0027306265264480526,370,63,1480,5721,7201
7,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.28264284621634905,-0.004972490772824197,-0.0014054389448155643,370,49,1480,5561,7041
8,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.27427278804638755,0.013682999523410257,0.0037528744281231236,370,81,1480,5529,7009
9,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.2808539103950677,0.026803889879262265,0.007527977286389586,370,77,1480,5753,7233
10,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.27564397397731194,0.05762606190546834,0.01588427670828588,370,85,1480,5753,7233
11,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.31414803944795905,0.02109970102965591,0.006628429711404487,370,44,1480,5433,6913
12,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.29052442464660255,-0.02354792150752341,-0.006841246347596597,370,92,1480,5785,7265
13,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.28098508619265017,0.05904519980210173,0.016590820555655805,370,80,1480,5849,7329
14,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.28955964656609295,-0.00679357816288827,-0.0019671460917650547,370,93,1480,5753,7233
15,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.27662910191348067,0.023644744678286804,0.00654082448532803,370,67,1480,5625,7105
16,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.28694368291884287,0.037199443395140815,0.01067414529033273,370,58,1480,5785,7265
17,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.2557417425021942,0.010481139703984668,0.002680464931305971,370,76,1480,5689,7169
18,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.28640720293565086,-0.0219332312010713,-0.006281835399639777,370,54,1480,5785,7265
19,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.28811302020934365,0.038268894127382755,0.01102576666711186,370,98,1480,5593,7073
20,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.2431875969126415,0.00912704187267234,0.0022195833799362416,370,59,1480,5689,7169
21,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.29546027740129926,0.10479896584734254,0.030963931520625113,370,58,1480,5913,7393
22,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.2712835967135433,-0.0434500107771065,-0.01178727520085567,370,87,1480,5785,7265
23,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.30962978947320646,0.060843322296621934,0.0188389050735535,370,71,1480,5817,7297
24,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.29813336131373197,0.02886538532663468,0.008605734353045675,370,77,1480,5465,6945
25,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.2777091874975453,0.023565199395214894,0.006544272377262774,370,109,1480,5785,7265
26,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.2754063131625511,-0.016809811359166083,-0.004629528171385903,370,74,1480,5066,6546
27,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.2966577320996712,0.0116032736992591,0.003442200860553967,370,48,1480,5785,7265
28,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.28639162158477144,0.019113416078996085,0.005473922224888132,370,61,1480,5721,7201
29,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.2717732906088064,0.024183237761065013,0.006572358103899782,370,101,1480,5753,7233
30,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.28804967112775826,0.007023290585671699,0.0020230565434374136,370,68,1480,5561,7041
31,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.30768577336104197,-0.0023177799899124964,-0.0007131479286769745,370,72,1480,5913,7393
32,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.2939962399516954,0.03841024595697716,0.011292467886971094,370,81,1480,5817,7297
33,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.28513132651415285,-0.014895508082686696,-0.004247175978718743,370,59,1480,5913,7393
34,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.3006413861229697,-0.011258371149718942,-0.0033847323079383546,370,80,1480,5785,7265
35,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.2868522011977582,-0.03808989929199909,-0.01092617145531087,370,54,1480,5625,7105
36,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.2764578587121784,0.11193989188122415,0.03094666281395599,370,57,1480,5657,7137
37,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.30195214533716025,-0.008966578307192176,-0.00270747755619032,370,64,1480,5593,7073
38,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.28143571022126307,-0.009618182164630807,-0.0027068999285403566,370,86,1480,5561,7041
39,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.29596079538645415,0.04873893647729221,0.014424814406109265,370,65,1480,5753,7233
40,subcell,Raw,std_ctrl__tvn_efaar_e0.2_c96,0.30810533642962534,0.06056833549100826,0.018661427383439518,370,84,1480,5753,7233
