family,codec,config,selection_metric,pa_point,pc_point,product_point,metrics_path,metrics_sha256,pa_path,pa_sha256,pc_path,pc_sha256,config_path,config_sha256,output_path,output_sha256
dinov2,Zstd,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.4911714260561172,0.059687685511970553,0.02931688561090362,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/metrics.json,35a8340e8ddbd75ccfe8420e27125ac9eb3e149b1da59098792f50fb5543de77,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,2b0dc9199bf19c8a449bbfde7ef4c9474334c054274032f12d66f2ae7fd23ef8,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,fbd472a2770b7c800f34fc1251e924f687ff556ab50307cff59781ae301552d2,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,6bd84faa38181e434dd2ca956fa2fc6ae1f0cb87fb86142ca2b5966b8cfc8d6f,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/output.parquet,793dd9d7a6b299a9381bbd49fa6466668f7ed2c69ed125641ff15e0573f60c15
dinov2,D10,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.43450759247260323,0.04854195624673414,0.021091848542678895,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_d10_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/metrics.json,605368a1ff48ca97c88b598a3d189f652ae1388938bed652f6d4fa078de9155b,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_d10_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,24c9b8f72a3eb4d8cc513ed4aa0ec147021a73d9af22b5e8c2ac9cd2173f06ec,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_d10_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,48775d75b5c691a8d761bbbc72e376d55b27af3d9c336cdd14f58745f04e0429,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_d10_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,8aee17f0b38d5f44c43913359c8ced4bb074eb0ad6c5c0aec95df40219e2270a,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_d10_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/output.parquet,7faca055a0384792f20a495a36bbae98f4eaa2863790a8483b2f4146203e22bd
dinov2,D15,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.4236584617985665,0.044323769606159524,0.018778140052459598,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_d15_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/metrics.json,879c985797ee6ee34ca156315d889aa6da78d6b8e8988b1a11f712864a6dfd26,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_d15_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,bc7b9a6e7a6186d252f6ddf47dee9afe63ec86f11f302dbc76a20388898315d6,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_d15_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,12fd88c499283fa83f15242554976e32fa8df19fc68f909c1690553a15e76331,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_d15_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,8ca00ab74c6349b0bfd0b651259f078c9447542b1fd86d045fb3083e5137a50e,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_d15_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/output.parquet,5c8737ae62a63ba3cca55f33abce181d0d17c5c9706d8017c979cfdd3390fbe1
morphem,Zstd,robustmad_all__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.4810254806956372,0.08996936857790164,0.043277558768068096,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_zstd_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/metrics.json,40c4ca943bc3c88f11ab35a6467fe3bdce0024b319173ae95effba0b394ef75a,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_zstd_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,41cde0c5ee58926073b2aa93a2e31360142d6cdaa0fafa0b7069da1ed2881e89,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_zstd_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,da21c1a85207f840a0794b0ec2d979751b98254915bfcb58f46d337425871217,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_zstd_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,61973bc8a77fb606240fe6f5c1c955f344be21f7c9b32f071660e2850bed2946,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_zstd_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/output.parquet,a8c2e7676dbad374d3dc517ff1e995dab42e710e95b1d104dc3ce83780936663
morphem,D10,robustmad_all__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.47660133742879657,0.0665445672211229,0.03171522973620763,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_d10_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/metrics.json,f71b4082cba4544713be8857493fc901382cdc92f101a6bdf01da2a37165e9aa,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_d10_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,1767a4576b5038286108ac7b9593d52db4af8b3bea92b9aaaf944cd47010790f,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_d10_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,e51aa1906c29d2cf3e231fb1c175babc3b6103492e74c2bac2f12cb84b8e62fe,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_d10_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,0ef75260ca6aa831eac2d2df9f9bb353df22f13ba9940bac2201abc0c8064518,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_d10_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/output.parquet,a91c680f85a8555878483d24b0cefef33f04c71c0573b08621e74bcbd491896e
morphem,D15,robustmad_all__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.48256856002702503,0.06612671647802161,0.031910674350114236,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_d15_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/metrics.json,3a1e33b11d89ccacd1119113e0ab950d254ca00f75feb68142b99362d3fbd3e9,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_d15_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,fad7fa3847a310efcbec5fc7ae9e902ddc48612e45e29753bbb81ba3eec09111,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_d15_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,dc18491ed1c4667b93dac49ec8292ca2ffd671dfa42019ec3e195d68f5227515,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_d15_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,aaea9f1edf4117ccc5cd29fdc0001118a6336b74996f0762274e9fe15d07b00d,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_d15_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/output.parquet,f359f451bf5391efb2c6afab5e393cb281a12fffa8894dec1ebd8f2ce742e098
openphenom,Zstd,std_all__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.3751573581116567,0.052554538831771185,0.019716221944903748,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_zstd_raw_features/std_all__prune0.9__tvn_efaar_e0.05/results/metrics.json,a2957ceb768a4397601895a62046d94d4443b5475a375a3a6407620fdc5cc676,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_zstd_raw_features/std_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,024bb6843637f0de7412c6a6796c003652ff0a31a6cd3424ebf2a62630c63806,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_zstd_raw_features/std_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,198fd2ed7c497c85a13c18ba286c64c753c39b6db846492d0adf65a0e2b3ad14,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_zstd_raw_features/std_all__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,2f16acdf5af2ab5b4cf5189969aebe9cf55f7734bf43e5fe274f0f1b6fcc34e6,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_zstd_raw_features/std_all__prune0.9__tvn_efaar_e0.05/output.parquet,3bd6de670116126178498458cdd0a79f027da491815ac9581157e181bc906985
openphenom,D10,std_all__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.4199956853073956,0.03513899127662987,0.01475822472223876,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_jpegxl_lossy_d10_raw_features/std_all__prune0.9__tvn_efaar_e0.05/results/metrics.json,3a4c787e9a32d9bf5ff3dfb1d2fb2c2abd77ea33aaf009a15e6ed0251fe685b6,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_jpegxl_lossy_d10_raw_features/std_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,32956deca22a19e76219f20659233ffb8b65876d39bcd6aff9d22adc588175ca,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_jpegxl_lossy_d10_raw_features/std_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,d122ca0a6a1a43ac337b64ed45359df246529d165630d0cd052319a0a9f856da,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_jpegxl_lossy_d10_raw_features/std_all__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,cb283b7efc72aa5cd7e42868f87bbee0b0988327a2748e58292bdc45fbb08867,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_jpegxl_lossy_d10_raw_features/std_all__prune0.9__tvn_efaar_e0.05/output.parquet,2c55ab84d52a6250e855d16253f15ea78e530d09b4b5ae3265115b4ec5e5a7f4
openphenom,D15,std_all__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.412813012387583,0.0332691328144103,0.013733930936639304,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_jpegxl_lossy_d15_raw_features/std_all__prune0.9__tvn_efaar_e0.05/results/metrics.json,cb2d8163bb6c8ae61c4b90022cb3302a3a016f0f4030ee674e03a20dc3f5743c,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_jpegxl_lossy_d15_raw_features/std_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,07944e333db19eb14b38834ea7189b66d212312adc7366d573bc6175cce2fabe,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_jpegxl_lossy_d15_raw_features/std_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,ab6ff6d61caeb57475b578eb288cbd90cb36c61640a70b6346396b6a481bc593,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_jpegxl_lossy_d15_raw_features/std_all__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,d54883fdb009a7c016c6431ccb09b3b275cb9cd8f0b63e89f3e79b136abc79e8,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_jpegxl_lossy_d15_raw_features/std_all__prune0.9__tvn_efaar_e0.05/output.parquet,7c8d6e571c0f5c833e4f8649c18e3ef2463a883f810f46a827a52524ca24e564
subcell,Zstd,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.45637910975818663,0.07445700510806662,0.033980621706480196,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/subcell__clip01_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/metrics.json,94457ebd675b2d01fe1aeab175b08dc0c90fda87e778292e0ccaa63af3c4d2a6,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/subcell__clip01_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,ad186f1fa3d769cec97a22e44f4bccb242012e0d0d1d5618a668ab94b5a3b43b,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/subcell__clip01_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,6881c98274af199bd5ce4abf27d24cbef5f164799f7ce82fad77852d6226cfb6,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/subcell__clip01_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,2b743622fb49b3aaa36fe29fa226207aefecd601faabb210d5c4a2185b45ce04,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/subcell__clip01_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/output.parquet,5ea5e89a9b02a881b74274d4fdaf271231219493ab7383f06fce2a7ab10f1007
