family,codec_a,codec_b,discordance_rate,delta_mean,delta_q025,delta_q975,matched_full_delta
dinov2,HQ,D20,0.3985,0.002225942682257935,-0.013371302278976285,0.020278251613023053,0.0036914244182790833
dinov2,HQ,MQ,0.4905,2.9291259556692716e-05,-0.017843832610540938,0.017353271968427827,0.0019872004759436636
dinov2,MQ,D20,0.3965,0.002196651422701242,-0.013390018949959588,0.018804124421684148,0.0017042239423354197
dinov2,Raw,D20,0.4065,0.0019561324799990494,-0.013496306928015471,0.01976964651247928,0.004545107008643133
dinov2,Raw,HQ,0.508,-0.0002698102022588857,-0.017262096043900554,0.017213842926763163,0.000853682590364049
dinov2,Raw,MQ,0.5105,-0.000240518942702193,-0.018205656794470466,0.01813137225471862,0.0028408830663077126
morphem,HQ,D20,0.306,0.0056621682245250335,-0.01905286216928401,0.03193351577855195,0.008842214908576704
morphem,HQ,MQ,0.4305,0.0014393202084403245,-0.020361427190545935,0.0227659025325906,0.002366370604555721
morphem,MQ,D20,0.3585,0.0042228480160847095,-0.01875821986802899,0.02907994374226167,0.006475844304020983
morphem,Raw,D20,0.2975,0.006267013221845859,-0.019416523767348266,0.03359838140611316,0.00900208923416845
morphem,Raw,HQ,0.468,0.0006048449973208249,-0.019223195822388364,0.021528239447715036,0.00015987432559174536
morphem,Raw,MQ,0.4145,0.0020441652057611496,-0.021796995205818598,0.025155724250189686,0.0025262449301474664
openphenom,HQ,D20,0.387,0.002800105210310919,-0.016327189435526964,0.025766233585883563,0.0034187688497621244
openphenom,HQ,MQ,0.466,0.0010245028528733493,-0.018020893419741512,0.021491849030933423,0.0028873949021877236
openphenom,MQ,D20,0.435,0.00177560235743757,-0.0176507438699559,0.023449600572369042,0.0005313739475744008
openphenom,Raw,D20,0.387,0.002791539313482824,-0.017473041414193723,0.02464696220975598,0.0027473434214612125
openphenom,Raw,HQ,0.4995,-8.56589682809546e-06,-0.02015691565028714,0.01904557478113523,-0.0006714254283009119
openphenom,Raw,MQ,0.46,0.0010159369560452539,-0.01863665402405128,0.021118750853135283,0.0022159694738868117
subcell,HQ,D20,0.42,0.001844896567585719,-0.01668041182049252,0.021140926508350876,0.0013620074890401696
subcell,HQ,MQ,0.532,-0.0005171363979626253,-0.016988006896595527,0.016029754899332803,7.626017649821348e-05
subcell,MQ,D20,0.3965,0.002362032965548344,-0.01614322032776097,0.022786027295909082,0.0012857473125419561
subcell,Raw,D20,0.441,0.0011473220146022334,-0.01860607216722104,0.020642284075633524,0.0012722435504854968
subcell,Raw,HQ,0.4495,-0.0006975745529834857,-0.013543095080328504,0.010826243472159653,-8.976393855467286e-05
subcell,Raw,MQ,0.447,-0.0012147109509461108,-0.018751758912738125,0.014121175343120159,-1.3503762056459381e-05
