family,codec,pa,pc,product,pa_units,pc_targets,pa_path,pa_sha256,pc_path,pc_sha256,groups
dinov2,Raw,0.24064413107667046,0.035101624416656235,0.00844699990712588,3654,669,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/dinov2__Raw__pa_treatments.csv,c5035dfbc20bc5787071f7ab263fd90aff4faf13ea04e0e93197e9b4484ec0b4,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/dinov2__Raw__pc_targets.csv,bae20ecb636987d33379d40bb961968da1aebfb7d9c4fb1caeb8b32f2b07797a,group_high|group_low
dinov2,HQ,0.24319141905629704,0.03122362353995736,0.007593317316761831,3654,669,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/dinov2__HQ__pa_treatments.csv,e565a4b93356c8bb20119f9d34f61d897d8e2402e9509e77b04f30cecf5dd673,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/dinov2__HQ__pc_targets.csv,7b0540a53a0c6c65bfd283aa5b1aeaa5b1a52d79a9b718cf1c020753a6ab0cbb,group_high|group_low
dinov2,MQ,0.22208331063359832,0.025243305428147893,0.005606116840818167,3654,669,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/dinov2__MQ__pa_treatments.csv,56d44bef0c04524c7faff6c432620f5ea56c820041d6c66a5dcac1047bc8c9b1,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/dinov2__MQ__pc_targets.csv,4bb32eb96257d8b0189c0d325fc5194384f9192499b23203c328d4e8b6d880ac,group_high|group_low
dinov2,D20,0.17604434999914317,0.022164260872341194,0.0039018928984827475,3654,669,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/dinov2__D20__pa_treatments.csv,b998b64f7f5fa151b32d17af2c5582c3255d0502ae130197d0e858554f1b262c,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/dinov2__D20__pc_targets.csv,91800ae656addc3b431bb51f42be3f1365930cfa9fa8995ec30e84644ef37052,group_high|group_low
morphem,Raw,0.3668329643458417,0.05105629590080908,0.018729132373812244,3654,669,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/morphem__Raw__pa_treatments.csv,cafe6328cfed6e676d02a99ba309395ff6d3437afd42cfc68084977405df88fb,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/morphem__Raw__pc_targets.csv,9375b5da33f3d066268506a3070a7c296469a10cdd50bc4d466d61ed80c47d5b,group_high|group_low
morphem,HQ,0.3689728377662709,0.05032689712510317,0.0185692580482205,3654,669,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/morphem__HQ__pa_treatments.csv,17361a18b6ad8efb10bb5824556e8a8e14bb0197daac7c22c05c9b9552d54ccc,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/morphem__HQ__pc_targets.csv,6f96d16e26b9ef06137aee2a85acf8a20ce387f49dc692cb48f2022865a04473,group_high|group_low
morphem,MQ,0.3499303483194591,0.04630317867964058,0.016202887443664778,3654,669,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/morphem__MQ__pa_treatments.csv,08dae5c979b85b946bda44d1de97e818efc98350df713b245f1e228f52cc9320,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/morphem__MQ__pc_targets.csv,f51c5a5906714da583627d3471297d140ecfd2c46ebb77a64e6cfab9a124df99,group_high|group_low
morphem,D20,0.28150556555022216,0.03455364415489127,0.009727043139643794,3654,669,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/morphem__D20__pa_treatments.csv,8d78cce0edf7a16eee2b3bc6b471b04d064eaecae52bd5450b030546b5c21eaa,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/morphem__D20__pc_targets.csv,9e1ec47c36db1f3057018184630982aec48d8371439eb0af55b40fedea040d01,group_high|group_low
openphenom,Raw,0.29251845681812555,0.029683713040610193,0.008683033931271364,3654,669,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/openphenom__Raw__pa_treatments.csv,eeb14c88f9f23882293ef2cdb80e5c48ef1b23460289a8b9e8b27d81e927004b,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/openphenom__Raw__pc_targets.csv,78ce997b8944a3742c0fc367472e8d9084d40ce740b0710b3fc6f41e109a3655,group_high|group_low
openphenom,HQ,0.29798260233019785,0.03139263596740623,0.009354459359572275,3654,669,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/openphenom__HQ__pa_treatments.csv,4b67e37519d3acb2390e8d44af9b81aeefd8c43d9843046f8f3eb3589310f2cf,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/openphenom__HQ__pc_targets.csv,c00603aeeb8b21b4799c116aba7b9e1f5c1ce8fb4f60cfd8c1a011e116e7a325,group_high|group_low
openphenom,MQ,0.27000704569064793,0.023951465565805966,0.006467064457384552,3654,669,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/openphenom__MQ__pa_treatments.csv,c24828ea7c94e581dbabc86768942123e7c8ac3bb727c5847e7babcdfb250b99,/work/users/amunoz/projects/JUMP_lite/rebuttal/postprocessing_validation/results/per_unit/openphenom__MQ__pc_targets.csv,aee01f5e9addd7d5e1dd91d76b3ef3e6be70ec0fced3ee41c7be05670ee25bab,group_high|group_low
