family,codec,config,pa_point,pa_ci_low,pa_ci_high,pc_point,pc_ci_low,pc_ci_high,product_point,product_ci_low,product_ci_high,replicates,seed
dinov2,Zstd,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,0.4911714260561172,0.4541843171156363,0.5280227764285003,0.059687685511970553,0.041797603621407976,0.07926927035946985,0.02931688561090362,0.020328360115131627,0.039301400923641476,50000,20260814
dinov2,D10,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,0.43450759247260323,0.39772241395054664,0.4716118417983736,0.04854195624673414,0.033675208845023744,0.06485777032006036,0.021091848542678895,0.014462729879089347,0.02843207507124837,50000,20260814
dinov2,D15,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,0.4236584617985665,0.38890631810425214,0.4588684385280994,0.044323769606159524,0.030335113499557528,0.05936166979690015,0.018778140052459598,0.012702783298882886,0.025441643438825323,50000,20260814
morphem,Zstd,robustmad_all__prune0.9__tvn_efaar_e0.05,0.4810254806956372,0.4396925274437218,0.5226233165069241,0.08996936857790164,0.06678586342726771,0.11523567691402367,0.043277558768068096,0.031665449326026406,0.05631573499076913,50000,20260814
morphem,D10,robustmad_all__prune0.9__tvn_efaar_e0.05,0.47660133742879657,0.4371475482816592,0.5164574615405103,0.0665445672211229,0.04739059223305902,0.08758982878633974,0.03171522973620763,0.02236623015927084,0.042219896522646246,50000,20260814
morphem,D15,robustmad_all__prune0.9__tvn_efaar_e0.05,0.48256856002702503,0.4434372610882205,0.5216545797174039,0.06612671647802161,0.04591060709491735,0.08835550165563051,0.031910674350114236,0.021991642575018556,0.04303604788652165,50000,20260814
openphenom,Zstd,std_all__prune0.9__tvn_efaar_e0.05,0.3751573581116567,0.3393970556874261,0.41167219850912684,0.052554538831771185,0.03716795716375275,0.0691296107375698,0.019716221944903748,0.013739334009535706,0.026301362756212077,50000,20260814
openphenom,D10,std_all__prune0.9__tvn_efaar_e0.05,0.4199956853073956,0.38474667621262293,0.45597040022884955,0.03513899127662987,0.02339217140857856,0.048146283346059325,0.01475822472223876,0.009720522487886296,0.020439590431418478,50000,20260814
openphenom,D15,std_all__prune0.9__tvn_efaar_e0.05,0.412813012387583,0.37844443899737606,0.44753106792814795,0.0332691328144103,0.02141036429766461,0.046529784037310944,0.013733930936639304,0.008762681118171708,0.019404803528603017,50000,20260814
subcell,Zstd,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,0.45637910975818663,0.4185175333959918,0.4947384666764012,0.07445700510806662,0.05481299674218913,0.09527940853043702,0.033980621706480196,0.02467163722153732,0.04398437021605507,50000,20260814
subcell,D10,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,0.44911185373524,0.41285469017688514,0.4863986305521456,0.0469584589192389,0.02859687501397147,0.06674028995622194,0.021089600533769497,0.012759922901780517,0.030286085798182292,50000,20260814
subcell,D15,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,0.4635507458858658,0.4287865440942954,0.49904607060684925,0.0644567573999149,0.043979073269998926,0.08642578654382924,0.02987897797011485,0.02026964524771785,0.040398254398472555,50000,20260814
