family,codec,pa_point,pa_ci_low,pa_ci_high,pc_point,pc_ci_low,pc_ci_high,product_point,product_ci_low,product_ci_high,replicates,seed
cp_measure,Zstd,0.46697917913564324,0.4332961051018977,0.5007217975941298,0.08540399068330914,0.05683813188047328,0.11659591996565798,0.03988188546419983,0.026327294071260457,0.0548709745500225,50000,20260818
cp_measure,HQ,0.46497309874532833,0.43078551493471057,0.49915070046572724,0.08090389694273678,0.05477283571660859,0.10913482007773488,0.03761813566203701,0.025255234238470044,0.05119756687865596,50000,20260818
cp_measure,E3,0.45605594420200524,0.421110849315532,0.49098221052126007,0.07748397192371921,0.05063390138959218,0.10662306524992267,0.035337025976193426,0.022929454101417272,0.049070631609215806,50000,20260818
dinov2,Zstd,0.4911714260561172,0.4540652402161071,0.5285286340605183,0.059687685511970553,0.041802818572156626,0.07895200681775975,0.02931688561090362,0.020352716650362087,0.0391387832618798,50000,20260818
dinov2,HQ,0.45450040325405106,0.4172302340771804,0.4919956320975298,0.04409141395418549,0.02953270299750712,0.06016898109002557,0.0200395654222186,0.013334724575838588,0.027599730380219102,50000,20260818
dinov2,E3,0.47951455402259485,0.4436431466739317,0.5159551903183078,0.049090250833814277,0.03502532090285856,0.06437231505166358,0.023539489735433766,0.016651475687265316,0.03121384812588894,50000,20260818
morphem,Zstd,0.4810254806956372,0.4394308223718992,0.52219941495794,0.08996936857790164,0.06663558542678617,0.11507320010126615,0.043277558768068096,0.03168316251501586,0.05614874743164599,50000,20260818
morphem,HQ,0.5085070881996799,0.4674686021529078,0.5495297413804457,0.08082621069293941,0.05898882764220065,0.10434415234756643,0.04110070104968045,0.029627242357628022,0.053714278983543286,50000,20260818
morphem,E3,0.5212069787881805,0.47971292092456946,0.5623413552044807,0.08850853006797316,0.06601300843273818,0.11251609024720038,0.04613126355371112,0.034057738283955384,0.059460711293645455,50000,20260818
openphenom,Zstd,0.3751573581116567,0.33915445928710175,0.41167010960942313,0.052554538831771185,0.03713910826342378,0.06905881240479828,0.019716221944903748,0.013704743752870707,0.02630681455979032,50000,20260818
openphenom,HQ,0.4096343082281532,0.37353990090804745,0.4455776449413049,0.038731788538619874,0.02446516849306544,0.05409184964514548,0.015865869404456667,0.009899468544597471,0.022418294128317227,50000,20260818
openphenom,E3,0.42707504480825126,0.3896198218203953,0.46485911414252834,0.04816843666922517,0.03448775819966611,0.06273487658544163,0.020571537248852752,0.014525646901450084,0.027160386732533168,50000,20260818
subcell,Zstd,0.45637910975818663,0.41868216788672447,0.49442931812926255,0.07445700510806662,0.054740646242616584,0.09521581148704324,0.033980621706480196,0.024678543569949647,0.04403671933886171,50000,20260818
subcell,HQ,0.44722552718537445,0.40946414648803486,0.4856266439610613,0.05769652520803523,0.03903918540969766,0.07764737221921408,0.025803358902927804,0.01731027026170567,0.035118917702767295,50000,20260818
subcell,E3,0.4424078257448188,0.40400857770189985,0.4811409026830509,0.0798209610009051,0.058545294131823716,0.10241740101724069,0.035313417805272404,0.025587912579607477,0.04588198995096301,50000,20260818
