family,display_family,codec,config,selection_metric,pa_point,pc_point,product_point,metrics_path,metrics_sha256,pa_path,pa_sha256,pc_path,pc_sha256,config_path,config_sha256,output_path,output_sha256
cp_measure,cp_measure,Zstd,std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.46697917913564324,0.08540399068330914,0.03988188546419983,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_zstd_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/metrics.json,288ce70e02392e63c43073fb4f3f639766cc12cce2d8b238a244f0ea31480f19,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_zstd_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,8b5b71842b70aeef5c7c593d5cf430c1c3f901556e2e216fc6e506281f82aafe,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_zstd_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,4ce9ae2ba2d363010ba250831683dc5f08c5f035957f2320bc50db8a4dfbb154,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_zstd_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,22754d2e36bec2506e02dd15a171fd1402dfe31681f73975d9da511b735764e8,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_zstd_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/output.parquet,043690a491d46cc4a4f5c38a8a7fb49d29587e187cc528521324b5adf4612e40
cp_measure,cp_measure,HQ,std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.46497309874532833,0.08090389694273678,0.03761813566203701,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_hq_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/metrics.json,6e28f4e63df2b1fa8334173b0539df5b89f1cc22bee95e00de661a826c612847,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_hq_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,8a47726521749dcedf597ceffa89e47004721c25c2cca46b94556d7f10536c9e,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_hq_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,e09d979b7773670de8501f1cd704a852cf7dfcc51d7d6068752faf612d1d8b27,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_hq_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,5e8a5873d030509d97e9ccbeb8713c20a758694722e9fe6bc28a57f1f548a96d,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_hq_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/output.parquet,3a59021bca63311ecfeae9b34c8060a052c08600004c81d8e6614029a2897f16
cp_measure,cp_measure,E3,std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.45605594420200524,0.07748397192371921,0.035337025976193426,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_effort_3_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/metrics.json,ac653179a8f603f29d61c4919882b477c6e4708f532cd8f1ac04b22b0f5f32f1,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_effort_3_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,0af661aabfcb1dd682d61849349018c9e74aae62a1f29b731933ee7664bf42f1,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_effort_3_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,0e8aa624301065cf3e1304f48a8ce9bfc986b6368a00bca3e96595429ac83556,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_effort_3_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,c21f785b00fa50a18d9f1fadf6c6a9383204a3930cabb62a5967a7a445b1cf18,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_effort_3_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/output.parquet,4b048929c5545e27de1a5ba14a209da6e1c43bfea49e0c222b05966283592a22
dinov2,DINOv2,Zstd,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.4911714260561172,0.059687685511970553,0.02931688561090362,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/metrics.json,35a8340e8ddbd75ccfe8420e27125ac9eb3e149b1da59098792f50fb5543de77,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,2b0dc9199bf19c8a449bbfde7ef4c9474334c054274032f12d66f2ae7fd23ef8,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,fbd472a2770b7c800f34fc1251e924f687ff556ab50307cff59781ae301552d2,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,6bd84faa38181e434dd2ca956fa2fc6ae1f0cb87fb86142ca2b5966b8cfc8d6f,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/output.parquet,793dd9d7a6b299a9381bbd49fa6466668f7ed2c69ed125641ff15e0573f60c15
dinov2,DINOv2,HQ,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.45450040325405106,0.04409141395418549,0.0200395654222186,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_hq_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/metrics.json,4be19ea3d158d08423f2e27206e6eb64c46f7dfa3dc59db70a55168768b3c48d,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_hq_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,47eb1a4106ae82cd1c9ce98c89f1bd6a66315b7b4fcc8c7b5e82681dfe80a603,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_hq_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,03bcf54dfec600f0fd8238c1aac82bb074eec9a656a44de384ffc1248c2bd519,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_hq_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,a1a24fa4d57167a2b72b60b47db4d6cc10999850f891a988a71deb62997d2f0a,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_hq_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/output.parquet,5a746bfd068d298218f0d4f2abb5e6e26a35a17ea6274ad1caeb7b69be408339
dinov2,DINOv2,E3,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.47951455402259485,0.049090250833814277,0.023539489735433766,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_effort_3_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/metrics.json,97d4f7c2d900ef9c8c93b8a9b03ac3c9d98cd5441377c3ddab37314d8b3b4c56,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_effort_3_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,193a604e244c64c31d7cd6f08b948a513e04e1b5096c3b777c4016c2d69c6434,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_effort_3_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,b9e22eb3e2add6af4a742a6ae29e2d57c1d2032aaea7eaa22f6c43913ef8e01b,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_effort_3_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,be9d1f7b3c4f467e431a02ff1d1112314db37e86fae3188e259183ad7ed4fe8c,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_effort_3_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/output.parquet,33e04c3c70a21f23af5db28b748ca055c24f3a313fbe7c0a31a95013f9666805
morphem,MorphEM,Zstd,robustmad_all__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.4810254806956372,0.08996936857790164,0.043277558768068096,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_zstd_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/metrics.json,40c4ca943bc3c88f11ab35a6467fe3bdce0024b319173ae95effba0b394ef75a,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_zstd_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,41cde0c5ee58926073b2aa93a2e31360142d6cdaa0fafa0b7069da1ed2881e89,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_zstd_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,da21c1a85207f840a0794b0ec2d979751b98254915bfcb58f46d337425871217,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_zstd_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,61973bc8a77fb606240fe6f5c1c955f344be21f7c9b32f071660e2850bed2946,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_zstd_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/output.parquet,a8c2e7676dbad374d3dc517ff1e995dab42e710e95b1d104dc3ce83780936663
morphem,MorphEM,HQ,robustmad_all__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.5085070881996799,0.08082621069293941,0.04110070104968045,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_hq_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/metrics.json,d042cf6dc15c09fae5d92c924d80859eb748b2d5ff407cd346ece19d85ac64c6,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_hq_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,32ad845c2c4efb9c56d604731fc699a4bc4ce99e2b1b019fc845a1dbaa7a8e9a,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_hq_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,d05f10eb3d8624e5efb18df2a341455beb60185fbb26d62e3e47abadffb79812,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_hq_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,6500f12792d0ea47a6bcabddcfcd6cf12fb60b9381517b14550b37cda5a18181,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_hq_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/output.parquet,a10827392540f5013e5d3558f374128c256d962e199d6b17b0db81fe39051716
morphem,MorphEM,E3,robustmad_all__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.5212069787881805,0.08850853006797316,0.04613126355371112,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_effort_3_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/metrics.json,8159143ee107eca0ff4bc66e90d65454efd6f9a2887f991c500c77bc90c13f78,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_effort_3_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,fec23b2a4f9c79cbad4feff7edb40f4d16fe70b7c8a77d1deac44e8d16c66129,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_effort_3_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,ce5d59f071a0fe23da6ed1587acf70e6e02b44e0c95badd83baefbc5b438ba41,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_effort_3_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,38575cac18296f93c02684d768802f01a17700d800ffaaf63cd02ba1879040ea,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_effort_3_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/output.parquet,998a9db5d1d3864a7a1ef47ff9a9ab649fc998d15575dae63026f28c3b87da43
openphenom,OpenPhenom,Zstd,std_all__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only,0.3751573581116567,0.052554538831771185,0.019716221944903748,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_zstd_raw_features/std_all__prune0.9__tvn_efaar_e0.05/results/metrics.json,a2957ceb768a4397601895a62046d94d4443b5475a375a3a6407620fdc5cc676,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_zstd_raw_features/std_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,024bb6843637f0de7412c6a6796c003652ff0a31a6cd3424ebf2a62630c63806,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_zstd_raw_features/std_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,198fd2ed7c497c85a13c18ba286c64c753c39b6db846492d0adf65a0e2b3ad14,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_zstd_raw_features/std_all__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,2f16acdf5af2ab5b4cf5189969aebe9cf55f7734bf43e5fe274f0f1b6fcc34e6,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_zstd_raw_features/std_all__prune0.9__tvn_efaar_e0.05/output.parquet,3bd6de670116126178498458cdd0a79f027da491815ac9581157e181bc906985
