family,display_family,codec,config,selection_metric,pa_clusters,pc_clusters,pa_query_rows_original,pa_query_rows_common,pa_query_rows_dropped,pa_point_archived,pa_point_common,pc_point,product_point_common,metrics_path,pa_queries_path,pa_map_path,pc_path,config_path,output_path,metrics_sha256,pa_queries_sha256,pa_map_sha256,pc_sha256,config_sha256,output_sha256,metrics_size_bytes,pa_queries_size_bytes,pa_map_size_bytes,pc_size_bytes,config_size_bytes,output_size_bytes
cp_measure,cp_measure,Zstd,std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only; lexical exact-tie resolution,306,201,1266,1263,3,0.46697917913564324,0.46692039583441847,0.08540399068330914,0.03987686513568969,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_zstd_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/metrics.json,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_zstd_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_per_compound.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_zstd_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_zstd_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_zstd_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_zstd_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/output.parquet,288ce70e02392e63c43073fb4f3f639766cc12cce2d8b238a244f0ea31480f19,7b2ae6209facaae47e11279bb2075b7017f727ab308bf2556c359f49609411ba,8b5b71842b70aeef5c7c593d5cf430c1c3f901556e2e216fc6e506281f82aafe,4ce9ae2ba2d363010ba250831683dc5f08c5f035957f2320bc50db8a4dfbb154,22754d2e36bec2506e02dd15a171fd1402dfe31681f73975d9da511b735764e8,043690a491d46cc4a4f5c38a8a7fb49d29587e187cc528521324b5adf4612e40,920,642027,43107,24387,3616,1624828
cp_measure,cp_measure,D2-E8,std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only; lexical exact-tie resolution,306,201,1263,1263,0,0.4255672988736476,0.4255672988736476,0.08681172004676853,0.03694422921087857,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/metrics.json,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_per_compound.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/output.parquet,efb626b7f37c5976216aeb29998c7388c862c3109caa51042470e673c1bb66e5,a6cc7125f70e518f9d86450ef3c0511b9ba5d0ee9dc31755a31c7df9805c0e07,2fb81aef6a58b3324cc0090102ccc3706aa98c4091469c98e9f63c934735b6b8,b4bfc830f060f7469a7afbc3147bce891533fc815ba828421c4bea30c63cc9e8,0a95311ba459cf8d8fb87fbbd14a6baf657eb0e114da10bd08436132b62bc998,8a429b946ce2832bb7762b57c2bb95b9fd99dbd1aceb962284af6d397a6ef484,920,659091,43295,24428,3630,1621925
cp_measure,cp_measure,MQ,std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only; lexical exact-tie resolution,306,201,1264,1263,1,0.45899706512761634,0.45921571197196565,0.083215416340251,0.038213826661731905,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_mq_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/metrics.json,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_mq_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_per_compound.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_mq_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_mq_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_mq_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/cp_measure_jump_target2_4plate_jpegxl_lossy_mq_raw_features/std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05/output.parquet,0f94b14810367f73cbbe255988973d109199c6931f4da7bee81fa73d21c8b08c,dc01ed3622f99155101800bc6462d2192754981b6a1fae89c77d37750248d273,f7058807e43baac677e30628fd4d9da7352c3d355f38b76d935db5f60caf0a26,44068604bb039e4fc2fd5f7950ab780415adfa3bd3761a544ff013b0a43af71e,cf4178a1a0e0a796ed134bbea9e9446268072018c5418f47cc3a7e30249060a7,1411f41605f4568252b6cfe29355b746db054584e10df4c7b3ab7c19f9c26bd3,921,655245,43171,24376,3627,1622847
dinov2,DINOv2,Zstd,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only; lexical exact-tie resolution,306,201,1280,1280,0,0.4911714260561172,0.4911714260561173,0.059687685511970553,0.029316885610903627,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/metrics.json,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_per_compound.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_zstd_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/output.parquet,35a8340e8ddbd75ccfe8420e27125ac9eb3e149b1da59098792f50fb5543de77,fa09a1ea93908982f69c42a905f682998cb3b30b65dac8d8d660cae597676768,2b0dc9199bf19c8a449bbfde7ef4c9474334c054274032f12d66f2ae7fd23ef8,fbd472a2770b7c800f34fc1251e924f687ff556ab50307cff59781ae301552d2,6bd84faa38181e434dd2ca956fa2fc6ae1f0cb87fb86142ca2b5966b8cfc8d6f,793dd9d7a6b299a9381bbd49fa6466668f7ed2c69ed125641ff15e0573f60c15,905,631879,42735,24395,3459,842302
dinov2,DINOv2,D2-E8,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only; lexical exact-tie resolution,306,201,1280,1280,0,0.4619511611136225,0.4619511611136225,0.048088479720931526,0.022214529043273208,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/metrics.json,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_per_compound.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/output.parquet,517921f69d076baf85d26c529d35b854cb3e7a7b7fa845dfe0be2c4156e907ee,62a545849f051c1e55c26b0d50af645dbdb5ac0fc97afe4d131aef4db83932b4,d190066f11469835a75d5dd485fc51fbc8991cc3a95a2573c436f42a8aebf919,03a988666e794c40e22992a3f6527cc9ce91a9f40ae2308616df02eab24bf424,60d63d1b347c621c769d1371497cdf7ff893a5664425c18f6d0ec205b57fceea,7cc6c7a13a74e6cce3ad5ea28a52372457767ae2f8bd207cd06fdea8aa30ce85,920,650971,42932,24346,3473,841806
dinov2,DINOv2,MQ,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only; lexical exact-tie resolution,306,201,1280,1280,0,0.45725949149766343,0.45725949149766343,0.05261759418529938,0.024059894361000405,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_mq_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/metrics.json,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_mq_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_per_compound.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_mq_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_mq_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_mq_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/dinov2_jump_target2_4plate_jpegxl_lossy_mq_raw_features/robustmad_ctrl__prune0.9__tvn_efaar_e0.05/output.parquet,faf3497561fc2fe96a4af1308ae1a33179369149c3fe511cf8a9853ed46c398b,3a3fccb057de10f5151f4e6e1a917d388a8f9fe12160d4e676c9be2af639ac69,8f7449dc7565bc3577d27c2da43f5e7fc993f0bf1e847fdc072b4c6234919984,1aa1023ad5e142c4ad686d1d3505f10bf6a446680d5893d315024f1b2f839f20,c967842cb131b76bd83a56b635c9acd43f13ffb5bd36d08f045c3ee91e470a3b,0bf8a050fa5a35fd8a67a119ecf544f3a2ac57decd8f53168e91cc059f8b9788,919,647677,42927,24359,3470,841788
morphem,MorphEM,Zstd,robustmad_all__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only; lexical exact-tie resolution,306,201,1280,1280,0,0.4810254806956372,0.4810254806956372,0.08996936857790164,0.043277558768068096,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_zstd_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/metrics.json,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_zstd_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_per_compound.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_zstd_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_zstd_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_zstd_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_zstd_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/output.parquet,40c4ca943bc3c88f11ab35a6467fe3bdce0024b319173ae95effba0b394ef75a,75f9024e4b0a4d66cf7b7563f169902d7e5be6f25353db9ea586fbdcb680350a,41cde0c5ee58926073b2aa93a2e31360142d6cdaa0fafa0b7069da1ed2881e89,da21c1a85207f840a0794b0ec2d979751b98254915bfcb58f46d337425871217,61973bc8a77fb606240fe6f5c1c955f344be21f7c9b32f071660e2850bed2946,a8c2e7676dbad374d3dc517ff1e995dab42e710e95b1d104dc3ce83780936663,920,632629,42372,24361,3463,842374
morphem,MorphEM,D2-E8,robustmad_all__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only; lexical exact-tie resolution,306,201,1280,1280,0,0.5115911715738608,0.5115911715738608,0.09685490258602332,0.04955011308665583,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/metrics.json,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_per_compound.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_d2_e8_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/output.parquet,18e3156b893a1a9e94cb89f2eb1ebede3ef22e21b974b9fa71bff78d9e8629f7,eb602b822a600f5875de0c646c8fe9cec59efb9107f2a7fd74f1a552c64c8ff9,71410d86ef0a9fc046041b7623f3444e5495682276466c791caa203c83c0c941,904cd6d7d14a246ff0f385e488537edf2041530013580f51a5b19bff14d0beb3,703034f2904ac2a58fecd4a94479301c560030b03f0d9531e8196b23d9cfefeb,7267797e09f8f3739cffec7b22c2b1afc3057dd78b6a975bbe27688243c47a7d,915,649323,42084,24350,3477,842809
morphem,MorphEM,MQ,robustmad_all__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only; lexical exact-tie resolution,306,201,1280,1280,0,0.5033117265361814,0.5033117265361814,0.08065859970610759,0.040596419078071745,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_mq_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/metrics.json,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_mq_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_per_compound.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_mq_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_mq_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_mq_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/morphem_jump_target2_4plate_jpegxl_lossy_mq_raw_features/robustmad_all__prune0.9__tvn_efaar_e0.05/output.parquet,1caf4934f53116d7f2b2402c8678877a4d512e8560e4d10089f54e7d50d5e19e,4eee93f4c52c81c4f1b514554de85492c760e7ce4ab2b7f745e32ef282b43365,98ea8aa40fc67f0e67d82c9184d575d82e9f041b39cc3d76a5c1dd5ba85fa2aa,f6c9b2daf1b8ebd5fd1ed17e8340be47a11e6f43c7b0fb3ebe9037b038bd8f76,2bd14a7deb5a327fc2d1e3e8ce35e293eeb8534375c69fd2ea135d989f0563ec,eef313b4e2931198437f5a091864691bffae9e01accbcd77f1d4742098d69ee1,916,645783,42483,24348,3474,842558
openphenom,OpenPhenom,Zstd,std_all__prune0.9__tvn_efaar_e0.05,PA*PC/100 on Zstd only; lexical exact-tie resolution,306,201,1280,1280,0,0.3751573581116567,0.3751573581116567,0.052554538831771185,0.019716221944903748,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_zstd_raw_features/std_all__prune0.9__tvn_efaar_e0.05/results/metrics.json,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_zstd_raw_features/std_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_per_compound.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_zstd_raw_features/std_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_activity_map.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_zstd_raw_features/std_all__prune0.9__tvn_efaar_e0.05/results/phenotypic_consistency_per_target.csv,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_zstd_raw_features/std_all__prune0.9__tvn_efaar_e0.05/pipeline_config.yaml,/work/datasets/JUMP-lite-wacv/sweeps/MAIN_RESULTS__figure_4_variance_first_v11/openphenom_jump_target2_4plate_zstd_raw_features/std_all__prune0.9__tvn_efaar_e0.05/output.parquet,a2957ceb768a4397601895a62046d94d4443b5475a375a3a6407620fdc5cc676,006f92019bf24e8d336fe0281abc56c3ba084dfebe9679b67d39486f9fd87917,024bb6843637f0de7412c6a6796c003652ff0a31a6cd3424ebf2a62630c63806,198fd2ed7c497c85a13c18ba286c64c753c39b6db846492d0adf65a0e2b3ad14,2f16acdf5af2ab5b4cf5189969aebe9cf55f7734bf43e5fe274f0f1b6fcc34e6,3bd6de670116126178498458cdd0a79f027da491815ac9581157e181bc906985,918,641381,43380,24389,3468,842661
