factor,level,n_family_recipe_cells,mean_delta,median_delta,positive_fraction,minimum_delta,maximum_delta
normalization,Robust MAD,120,-0.00116361047248,-0.000577830108805,0.475,-0.0196747121509,0.00644209190084
normalization,Standardize,120,-0.0014816934158,-0.000816858024206,0.325,-0.00943551122912,0.0080759250525
fit_scope,all,120,-0.000330708024459,-4.25208598318e-05,0.491666666667,-0.00916678843102,0.0080759250525
fit_scope,ctrl,120,-0.00231459586382,-0.00109181260599,0.308333333333,-0.0196747121509,0.00511789498129
relative_pruning,higher,120,-0.0013291378333,-0.000808273087325,0.408333333333,-0.0196747121509,0.0080759250525
relative_pruning,lower,120,-0.00131616605498,-0.000744538917143,0.391666666667,-0.0196739006723,0.00644209190084
exact_pruning,0.9,120,-0.00131476961886,-0.000744538917143,0.391666666667,-0.0196747121509,0.00644209190084
exact_pruning,0.95,24,5.33293131729e-05,0.00105995464376,0.583333333333,-0.00905324424927,0.0080759250525
exact_pruning,none,96,-0.00167650016507,-0.000934229154772,0.364583333333,-0.0196739006723,0.00644209190084
TVN_epsilon,0.05,80,-0.00140217181409,-0.00103654689281,0.4125,-0.0196747121509,0.0080759250525
TVN_epsilon,0.1,80,-0.0014361053945,-0.000730263168363,0.4,-0.0184531345831,0.00629550184572
TVN_epsilon,0.2,80,-0.00112967862383,-0.000738698706991,0.3875,-0.0108948333661,0.00615392074905
TVN_components,96,120,-0.00119718175472,-0.000881932494085,0.391666666667,-0.00970315007353,0.00511789498129
TVN_components,128,120,-0.00144812213356,-0.000721648560102,0.408333333333,-0.0196747121509,0.0080759250525
