family,factor,level,n_recipes,mean_delta,median_delta,positive_fraction
cp_measure,normalization,Robust MAD,24,2.05232187444e-05,0.00151563587798,0.541666666667
cp_measure,normalization,Standardize,24,0.000157976479803,0.000510360618204,0.541666666667
DINOv2,normalization,Robust MAD,24,0.0029058878096,0.00209197587087,1
DINOv2,normalization,Standardize,24,-0.000442361031296,-0.00072689761422,0.0833333333333
MorphEM,normalization,Robust MAD,24,-0.0090216899265,-0.00692345494602,0
MorphEM,normalization,Standardize,24,-0.005965631412,-0.00611364554779,0
OpenPhenom,normalization,Robust MAD,24,-0.0010540145735,-0.00103654689281,0.166666666667
OpenPhenom,normalization,Standardize,24,-0.000808583306579,-0.000105312896429,0.5
SubCell,normalization,Robust MAD,24,0.00133124110922,0.00200221926346,0.666666666667
SubCell,normalization,Standardize,24,-0.0003498678089,-0.000766286536367,0.5
cp_measure,fit_scope,all,24,0.00110705102504,0.00225694010461,0.708333333333
cp_measure,fit_scope,ctrl,24,-0.000928551326495,-0.000743652398303,0.375
DINOv2,fit_scope,all,24,0.001874093379,0.0014112552075,0.583333333333
DINOv2,fit_scope,ctrl,24,0.000589433399311,0.000189281930065,0.5
MorphEM,fit_scope,all,24,-0.00560817122508,-0.00578497595804,0
MorphEM,fit_scope,ctrl,24,-0.00937915011342,-0.00831464019224,0
OpenPhenom,fit_scope,all,24,-0.00172799398987,-0.00166614391202,0.166666666667
OpenPhenom,fit_scope,ctrl,24,-0.000134603890203,0.000213568579198,0.5
SubCell,fit_scope,all,24,0.00270148068862,0.00248810173057,1
SubCell,fit_scope,ctrl,24,-0.0017201073883,-0.00217644991028,0.166666666667
cp_measure,relative_pruning,higher,24,5.33293131729e-05,0.00105995464376,0.583333333333
cp_measure,relative_pruning,lower,24,0.000125170385375,0.000169072541994,0.5
DINOv2,relative_pruning,higher,24,0.00123182126134,0.000583598449463,0.541666666667
DINOv2,relative_pruning,lower,24,0.00123170551697,0.000582043938236,0.541666666667
MorphEM,relative_pruning,higher,24,-0.00748995624742,-0.00646619408945,0
MorphEM,relative_pruning,lower,24,-0.00749736509108,-0.00646619408945,0
OpenPhenom,relative_pruning,higher,24,-0.000931420184919,-0.00081279336492,0.333333333333
OpenPhenom,relative_pruning,lower,24,-0.000931177695158,-0.00081279336492,0.333333333333
SubCell,relative_pruning,higher,24,0.000490536691346,0.00150439938965,0.583333333333
SubCell,relative_pruning,lower,24,0.000490836608977,0.00150432798753,0.583333333333
cp_measure,exact_pruning,0.9,24,0.000125170385375,0.000169072541994,0.5
cp_measure,exact_pruning,0.95,24,5.33293131729e-05,0.00105995464376,0.583333333333
DINOv2,exact_pruning,0.9,24,0.00123182126134,0.000583598449463,0.541666666667
DINOv2,exact_pruning,none,24,0.00123170551697,0.000582043938236,0.541666666667
MorphEM,exact_pruning,0.9,24,-0.00748995624742,-0.00646619408945,0
MorphEM,exact_pruning,none,24,-0.00749736509108,-0.00646619408945,0
OpenPhenom,exact_pruning,0.9,24,-0.000931420184919,-0.00081279336492,0.333333333333
OpenPhenom,exact_pruning,none,24,-0.000931177695158,-0.00081279336492,0.333333333333
SubCell,exact_pruning,0.9,24,0.000490536691346,0.00150439938965,0.583333333333
SubCell,exact_pruning,none,24,0.000490836608977,0.00150432798753,0.583333333333
cp_measure,TVN_epsilon,0.05,16,-4.76187973472e-05,0.000967979244845,0.5625
cp_measure,TVN_epsilon,0.1,16,-3.36501427304e-05,-0.000248053695414,0.5
cp_measure,TVN_epsilon,0.2,16,0.000349018487899,0.00110510394865,0.5625
DINOv2,TVN_epsilon,0.05,16,0.00177817127081,0.00183129092785,0.625
DINOv2,TVN_epsilon,0.1,16,0.000874873967487,0.000289440000321,0.5
DINOv2,TVN_epsilon,0.2,16,0.00104224492916,0.000189281930065,0.5
MorphEM,TVN_epsilon,0.05,16,-0.0083509502021,-0.00786564598384,0
MorphEM,TVN_epsilon,0.1,16,-0.00770924399345,-0.00611988859436,0
MorphEM,TVN_epsilon,0.2,16,-0.00642078781219,-0.00613863464719,0
OpenPhenom,TVN_epsilon,0.05,16,-0.00129765783688,-0.000843084349954,0.25
OpenPhenom,TVN_epsilon,0.1,16,-0.000922241699852,-0.000905698629206,0.375
OpenPhenom,TVN_epsilon,0.2,16,-0.00057399728338,-0.000452712104454,0.375
SubCell,TVN_epsilon,0.05,16,0.000907196495065,0.00120061531824,0.625
SubCell,TVN_epsilon,0.1,16,0.000609734896072,0.00175166699563,0.625
SubCell,TVN_epsilon,0.2,16,-4.48714406523e-05,0.000107638334327,0.5
cp_measure,TVN_components,96,24,-0.00194773696545,-0.00101994374827,0.375
cp_measure,TVN_components,128,24,0.002126236664,0.00231112912916,0.708333333333
DINOv2,TVN_components,96,24,0.000765349955744,0.000650645828767,0.5
DINOv2,TVN_components,128,24,0.00169817682256,0.000582043938236,0.583333333333
MorphEM,TVN_components,96,24,-0.00517995041377,-0.0058022332053,0
MorphEM,TVN_components,128,24,-0.00980737092473,-0.00885153190319,0
OpenPhenom,TVN_components,96,24,-0.000856379995964,-0.000452712104454,0.416666666667
OpenPhenom,TVN_components,128,24,-0.00100621788411,-0.000843084349954,0.25
SubCell,TVN_components,96,24,0.00123280864586,0.00185824873586,0.666666666667
SubCell,TVN_components,128,24,-0.000251435345534,-0.000352684968294,0.5
