recipe_signature,recipe_order,positive_families,negative_families,zero_families,mean_delta,median_delta,minimum_delta,maximum_delta,unanimous_sign
R-A-L-e0.05-c96,0,3,2,0,0.000298262998816,0.00181721653798,-0.00605353104563,0.00486265368758,False
R-A-L-e0.05-c128,1,3,2,0,0.00106754112395,0.0028347392646,-0.00895369400858,0.00644209190084,False
R-A-L-e0.1-c96,2,2,3,0,-0.000340298466557,-0.000693097062541,-0.0048623546188,0.00418385228848,False
R-A-L-e0.1-c128,3,3,2,0,0.00015896493199,0.00274656299844,-0.00916678843102,0.00460569436258,False
R-A-L-e0.2-c96,4,2,3,0,-0.00121399571382,-0.000903938169738,-0.00708606146809,0.00222964046269,False
R-A-L-e0.2-c128,5,3,2,0,0.000641458626092,0.00202409916901,-0.00482486582554,0.00615392074905,False
R-A-H-e0.05-c96,6,3,2,0,0.00011747973338,0.00106367771439,-0.00605353104563,0.00486265368758,False
R-A-H-e0.05-c128,7,3,2,0,0.000831613929737,0.0028347392646,-0.00895369400858,0.00644209190084,False
R-A-H-e0.1-c96,8,3,2,0,0.000239798873138,0.00147869789764,-0.0048623546188,0.00418385228848,False
R-A-H-e0.1-c128,9,3,2,0,-0.000205243567972,0.00231201021662,-0.00916678843102,0.00460569436258,False
R-A-H-e0.2-c96,10,3,2,0,-0.00035249859899,0.00134381251737,-0.00708606146809,0.00265405366282,False
R-A-H-e0.2-c128,11,3,2,0,0.000547709811894,0.00202409916901,-0.00482486582554,0.00615392074905,False
R-C-L-e0.05-c96,12,3,2,0,-0.00154495541791,0.000431074009726,-0.00970315007353,0.00511789498129,False
R-C-L-e0.05-c128,13,2,3,0,-0.00338586505635,-0.000964520139806,-0.0196739006723,0.0042588771223,False
R-C-L-e0.1-c96,14,3,2,0,-0.00131697539706,0.000655820765293,-0.00606823743376,0.0025618962178,False
R-C-L-e0.1-c128,15,2,3,0,-0.00354191645587,-0.00181165697383,-0.0184531345831,0.00398430352366,False
R-C-L-e0.2-c96,16,1,4,0,-0.00201314394484,-0.00104746941034,-0.00676084842394,0.00233854884967,False
R-C-L-e0.2-c128,17,2,3,0,-0.00232072573962,-0.00113615580165,-0.0108948333661,0.00199764267594,False
R-C-H-e0.05-c96,18,3,2,0,-0.000744571198012,0.000428623197567,-0.00586488162253,0.00511789498129,False
R-C-H-e0.05-c128,19,1,4,0,-0.0049347992672,-0.00239518448399,-0.0196747121509,0.00184536531773,False
R-C-H-e0.1-c96,20,3,2,0,-0.000840835625913,0.00065563426026,-0.00606581306745,0.00256160263466,False
R-C-H-e0.1-c128,21,1,4,0,-0.00466348715684,-0.00180888399253,-0.0184529332702,0.000624509882927,False
R-C-H-e0.2-c96,22,1,4,0,-0.00152136409791,-0.00104746941034,-0.00676084842394,0.00233854884967,False
