family,display_family,codec,config,pa,pc,product,n_pa,n_pc,archived_pa,archived_pc
cp_measure,cp_measure,D2-E8,std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05,0.4255672988736476,0.08681172004676854,0.036944229210878574,306,201,0.4255672988736476,0.08681172004676853
cp_measure,cp_measure,MQ,std_ctrl__outlier100__INT__prune0.9__tvn_efaar_e0.05,0.45899706512761623,0.083215416340251,0.03819563187354789,306,201,0.45899706512761634,0.083215416340251
dinov2,DINOv2,D2-E8,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,0.4619511611136225,0.048088479720931526,0.022214529043273208,306,201,0.46195116111362255,0.048088479720931526
dinov2,DINOv2,MQ,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,0.45725949149766343,0.05261759418529938,0.024059894361000405,306,201,0.45725949149766343,0.05261759418529937
morphem,MorphEM,D2-E8,robustmad_all__prune0.9__tvn_efaar_e0.05,0.5115911715738608,0.09685490258602336,0.04955011308665585,306,201,0.5115911715738608,0.09685490258602336
morphem,MorphEM,MQ,robustmad_all__prune0.9__tvn_efaar_e0.05,0.5033117265361814,0.0806585997061076,0.04059641907807175,306,201,0.5033117265361814,0.0806585997061076
openphenom,OpenPhenom,D2-E8,std_all__prune0.9__tvn_efaar_e0.05,0.42190444264018323,0.046685776631867584,0.019696936569092185,306,201,0.4219044426401833,0.046685776631867563
openphenom,OpenPhenom,MQ,std_all__prune0.9__tvn_efaar_e0.05,0.4279306408592858,0.03807863411689248,0.016295014300688065,306,201,0.4279306408592858,0.03807863411689247
subcell,SubCell,D2-E8,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,0.46383431295829547,0.06228745289683371,0.028891057920325057,306,201,0.46383431295829547,0.06228745289683371
subcell,SubCell,MQ,robustmad_ctrl__prune0.9__tvn_efaar_e0.05,0.4505317221572089,0.058810228299731544,0.026495873436336675,306,201,0.4505317221572089,0.05881022829973154
