metric,value,unit,qualification
total_compounds,115721,count,
fit_eligible_compounds,95426,count,
selected_treatment_compounds,3775,count,
release_compound_identities_including_dmso,3776,count,Includes shared DMSO negative-control identity JCP2022_033924; excluded from selected treatment labels.
all_compound_prevalence,0.0326215639339446,fraction_or_score,
eligible_compound_prevalence,0.0395594492067151,fraction_or_score,
occupied_clusters,120,count,
total_clusters,128,count,
eligible_mass_in_occupied_clusters,0.962368746463228,fraction_or_score,"Broad occupancy, not proportional representation."
total_variation_selected_vs_eligible,0.474989347870955,fraction_or_score,Selection is non-uniform across operational clusters.
jensen_shannon_divergence_nats,0.172269449741158,nats,"Descriptive divergence, not a biological-class distance."
average_precision_constant,0.0388870630517361,fraction_or_score,
average_precision_acquisition_structure,0.513536652643861,fraction_or_score,Uses well/source/plate acquisition structure only.
average_precision_cluster_only,0.273104769075815,fraction_or_score,Out-of-fold; cluster assignment was frozen label-blind.
average_precision_structure_plus_cluster,0.573313325285965,fraction_or_score,"Detectably additive, but assessed against the 1.25x materiality gate."
combined_to_structure_ap_ratio,1.11640195949861,fraction_or_score,Preregistered materiality threshold: 1.25x.
conditional_permutation_p,0.000499750124937531,fraction_or_score,"2,000 permutations within acquisition strata; finite-cohort design null."
mean_seed_adjusted_rand_index,0.162414221608182,fraction_or_score,Low stability: do not interpret clusters as biological classes.
