preprocessing,k,seed,inertia,n_iter,silhouette_n,silhouette,cluster_min,cluster_median,cluster_max,seed_a,seed_b,ari,ami
clip10,64,13.0,4562493.5,4.0,5000.0,0.002241923939436674,91.0,1356.0,4500.0,,,,
clip10,64,42.0,4629275.0,3.0,5000.0,0.004827955737709999,99.0,1388.0,4053.0,,,,
clip10,64,2026.0,4586840.0,2.0,5000.0,0.0042854114435613155,109.0,1265.5,4456.0,,,,
clip10,64,31415.0,4643469.0,3.0,5000.0,-0.004722135607153177,122.0,1541.5,4136.0,,,,
clip10,64,65537.0,4905293.5,3.0,5000.0,-0.0007160053355619311,159.0,1489.5,3851.0,,,,
clip10,128,13.0,4130653.25,4.0,5000.0,-0.00614185119047761,54.0,782.0,2129.0,,,,
clip10,128,42.0,4160996.75,3.0,5000.0,-0.009736375883221626,48.0,701.0,2327.0,,,,
clip10,128,2026.0,4111261.5,2.0,5000.0,-0.0067604524083435535,43.0,796.0,2540.0,,,,
clip10,128,31415.0,4231947.0,3.0,5000.0,-0.008111788891255856,56.0,802.5,1753.0,,,,
clip10,128,65537.0,4102818.5,3.0,5000.0,-0.005559391807764769,58.0,675.0,2027.0,,,,
clip10,256,13.0,3736445.5,4.0,5000.0,-0.015782475471496582,10.0,353.0,1007.0,,,,
clip10,256,42.0,3685765.75,3.0,5000.0,-0.015415743924677372,18.0,357.5,1219.0,,,,
clip10,256,2026.0,3740303.75,2.0,5000.0,-0.016290340572595596,15.0,360.0,1091.0,,,,
clip10,256,31415.0,3778454.25,3.0,5000.0,-0.01425283495336771,13.0,374.5,1053.0,,,,
clip10,256,65537.0,3660942.75,4.0,5000.0,-0.014148893766105175,18.0,374.0,1135.0,,,,
rank_gaussian,128,13.0,3456332.25,3.0,5000.0,0.010347574017941952,108.0,794.5,1508.0,,,,
rank_gaussian,128,42.0,3451974.0,5.0,5000.0,0.009453998878598213,56.0,784.5,1488.0,,,,
rank_gaussian,128,2026.0,3443927.5,4.0,5000.0,0.01187822688370943,56.0,786.5,1470.0,,,,
rank_gaussian,128,31415.0,3476278.0,3.0,5000.0,0.008724676445126534,82.0,797.0,1446.0,,,,
rank_gaussian,128,65537.0,3455918.0,3.0,5000.0,0.010541360825300217,81.0,734.5,1731.0,,,,
clip10,64,,,,,,,,,13.0,42.0,0.19526640595110709,0.5222900511597388
clip10,64,,,,,,,,,13.0,2026.0,0.19438090846741768,0.524854162649726
clip10,64,,,,,,,,,13.0,31415.0,0.21732823453785702,0.533150357311949
clip10,64,,,,,,,,,13.0,65537.0,0.19748847600715996,0.5236786515485783
clip10,64,,,,,,,,,42.0,2026.0,0.19487501479073788,0.5180723023147497
clip10,64,,,,,,,,,42.0,31415.0,0.19321286437291504,0.5177334609264046
clip10,64,,,,,,,,,42.0,65537.0,0.20895196956278062,0.5232744705761194
clip10,64,,,,,,,,,2026.0,31415.0,0.20891657609087733,0.5186505702463027
clip10,64,,,,,,,,,2026.0,65537.0,0.17897040599663816,0.5066498642063538
clip10,64,,,,,,,,,31415.0,65537.0,0.18308535554049052,0.5145240358575655
clip10,128,,,,,,,,,13.0,42.0,0.1709409550288311,0.5374590336041736
clip10,128,,,,,,,,,13.0,2026.0,0.14954796126099587,0.5227896101243183
clip10,128,,,,,,,,,13.0,31415.0,0.1640821322706906,0.5339392850466292
clip10,128,,,,,,,,,13.0,65537.0,0.15887261919371115,0.5246606497697603
clip10,128,,,,,,,,,42.0,2026.0,0.16722655451820162,0.534071630708943
clip10,128,,,,,,,,,42.0,31415.0,0.15699252483028836,0.5292428841403346
clip10,128,,,,,,,,,42.0,65537.0,0.16509583065347153,0.5318928711257095
clip10,128,,,,,,,,,2026.0,31415.0,0.15786888967297422,0.5258290976134667
clip10,128,,,,,,,,,2026.0,65537.0,0.16568111342421596,0.5273382455425881
clip10,128,,,,,,,,,31415.0,65537.0,0.16783363522843758,0.5282517800902337
clip10,256,,,,,,,,,13.0,42.0,0.13683421228314285,0.5226962136793366
clip10,256,,,,,,,,,13.0,2026.0,0.13386666647872567,0.519950182642431
clip10,256,,,,,,,,,13.0,31415.0,0.13107183908921793,0.5183231284880395
clip10,256,,,,,,,,,13.0,65537.0,0.1378597120937882,0.5269448486710504
clip10,256,,,,,,,,,42.0,2026.0,0.1328695129426838,0.5179940600554046
clip10,256,,,,,,,,,42.0,31415.0,0.13336328523161567,0.5188093221567148
clip10,256,,,,,,,,,42.0,65537.0,0.1432065610287176,0.5274108444792136
clip10,256,,,,,,,,,2026.0,31415.0,0.13087585640309993,0.5166201498511032
clip10,256,,,,,,,,,2026.0,65537.0,0.1340748031622239,0.5223080324322508
clip10,256,,,,,,,,,31415.0,65537.0,0.13588071968876675,0.5214322520569411
rank_gaussian,128,,,,,,,,,13.0,42.0,0.17123002486030484,0.5375701585177092
rank_gaussian,128,,,,,,,,,13.0,2026.0,0.16341438307871145,0.5354250333425814
rank_gaussian,128,,,,,,,,,13.0,31415.0,0.16019652318975963,0.5304151473117011
rank_gaussian,128,,,,,,,,,13.0,65537.0,0.16337453632078544,0.5344591864125191
rank_gaussian,128,,,,,,,,,42.0,2026.0,0.17499547831577197,0.5416101575840057
rank_gaussian,128,,,,,,,,,42.0,31415.0,0.16740525024466368,0.5358882792976721
rank_gaussian,128,,,,,,,,,42.0,65537.0,0.17811956047894886,0.5436680241262856
rank_gaussian,128,,,,,,,,,2026.0,31415.0,0.17123500127127608,0.5405806905266997
rank_gaussian,128,,,,,,,,,2026.0,65537.0,0.16132814259958062,0.5350513307282985
rank_gaussian,128,,,,,,,,,31415.0,65537.0,0.1600978515633676,0.5280020890129644
