seed,universe,predictor,n,n_selected,prevalence,roc_auc,average_precision,ap_lift,log_loss,brier,precision_at_selected_count,recall_at_selected_count,retrieved_with_ties
104729,matched_104729,constant,7664,3832,0.5,0.4894974361600586,0.49353769413322107,0.9870753882664421,0.6932476182690356,0.2500502179738362,0.49377865094957435,0.5902922755741128,4581
104729,matched_104729,count_only,7664,3832,0.5,0.6957035659494162,0.73357445345511,1.46714890691022,0.60463196957352,0.20907952833684051,0.6505711318795431,0.6539665970772442,3852
104729,matched_104729,cluster_only,7664,3832,0.5,0.7302867349340354,0.6987521180256315,1.397504236051263,0.6064051368698118,0.20901610300447096,0.6731872717788211,0.6735386221294363,3834
104729,matched_104729,count_plus_cluster,7664,3832,0.5,0.8068096073718297,0.8121851000572988,1.6243702001145977,0.5299092164241027,0.1778382293716865,0.7190513421944227,0.7199895615866388,3837
13,matched_13,constant,7664,3832,0.5,0.4917184592117364,0.49550879580641277,0.9910175916128255,0.6932246265077316,0.2500387223349303,0.4944262295081967,0.5902922755741128,4575
13,matched_13,count_only,7664,3832,0.5,0.6963359793476318,0.7343765306430365,1.468753061286073,0.603569097891718,0.20868071141538572,0.6513020833333333,0.6526617954070981,3840
13,matched_13,cluster_only,7664,3832,0.5,0.7294202948688333,0.7017206673327347,1.4034413346654695,0.6049868080521085,0.2086938375646673,0.6658841940532081,0.666231732776618,3834
13,matched_13,count_plus_cluster,7664,3832,0.5,0.8046528369493682,0.8092427768689378,1.6184855537378755,0.5294389219040934,0.17825161657975871,0.7228601252609603,0.7228601252609603,3832
130363,matched_130363,constant,7664,3832,0.5,0.49479339187416377,0.496652216952566,0.993304433905132,0.6931740816077214,0.25001345048871093,0.4968152866242038,0.5902922755741128,4553
130363,matched_130363,count_only,7664,3832,0.5,0.6967083177156654,0.7338116337021618,1.4676232674043237,0.6027938246832987,0.20819526960911225,0.649948024948025,0.6526617954070981,3848
130363,matched_130363,cluster_only,7664,3832,0.5,0.7364654407342193,0.7093159115738116,1.4186318231476231,0.5982175160456878,0.2058920778866786,0.6779572694111516,0.6790187891440501,3838
130363,matched_130363,count_plus_cluster,7664,3832,0.5,0.8095357643686177,0.8120968625667049,1.6241937251334098,0.524550150298486,0.17601542449975702,0.7245696400625978,0.7249478079331941,3834
137,matched_137,constant,7664,3832,0.5,0.494376073260664,0.4964605666852015,0.992921133370403,0.693176401101055,0.25001461021002874,0.4968040555433106,0.5882045929018789,4537
137,matched_137,count_only,7664,3832,0.5,0.7043306135891143,0.7409161641807671,1.4818323283615342,0.601823256903679,0.2075749422512016,0.6580844490216272,0.6670146137787056,3884
137,matched_137,cluster_only,7664,3832,0.5,0.7292285925357718,0.7045038658522849,1.4090077317045697,0.6051946356191392,0.20887636143783464,0.666147455867082,0.6696242171189979,3852
137,matched_137,count_plus_cluster,7664,3832,0.5,0.8071240604883173,0.8099626264947488,1.6199252529894976,0.5290753532460878,0.17736778788867044,0.7249478079331941,0.7249478079331941,3832
