preprocessing,k,seed,n,n_selected,prevalence,roc_auc,average_precision,ap_lift,log_loss,brier,selected_occupied_clusters,eligible_mass_in_occupied_clusters,total_variation,jensen_shannon_nats
clip10,64,13,95426,3832,0.040156770691425814,0.7789279675743408,0.21806135671266935,5.430251311498744,0.14157405745367338,0.03451954328364106,62,0.9954100559595918,0.408016620733389,0.1288426968527059
clip10,64,42,95426,3832,0.040156770691425814,0.7791560436127244,0.21237209730057927,5.288575093164164,0.14181109522481247,0.03441897799342131,62,0.9946660239347767,0.4059689629542541,0.1274900384832525
clip10,64,2026,95426,3832,0.040156770691425814,0.7745477876567295,0.2104723752294898,5.241267452674659,0.14203229812474835,0.034511009570196594,62,0.9964265504160291,0.386565613455925,0.12489484299155967
clip10,64,31415,95426,3832,0.040156770691425814,0.7924403745210722,0.1998336300745154,4.976337156443296,0.1410844097873794,0.034825956721470284,62,0.9963951124431497,0.4253370513859246,0.13755122065029296
clip10,64,65537,95426,3832,0.040156770691425814,0.7906538130762502,0.22511823822246585,5.605984603501312,0.13989804812432632,0.03418483252499292,64,1.0,0.416244350626902,0.13597215568373316
clip10,128,13,95426,3832,0.040156770691425814,0.8069508434881664,0.2570863942966486,6.402068440018787,0.13593450274341615,0.03341923586973539,124,0.9893634858424328,0.45348991471142674,0.157317315473175
clip10,128,42,95426,3832,0.040156770691425814,0.8207504025320418,0.2649639464989469,6.598238402559631,0.13341532675261839,0.033139788032466484,119,0.97163246913839,0.4765369679276233,0.1719523397310883
clip10,128,2026,95426,3832,0.040156770691425814,0.8150707587304472,0.25821001250908016,6.430049231130345,0.1349682758071235,0.03342272584486307,122,0.9807075639762748,0.4644998122253855,0.16646957899274528
clip10,128,31415,95426,3832,0.040156770691425814,0.8162284999044753,0.261465445699246,6.511117333323656,0.13405908919045725,0.03314892050848671,123,0.9899084107056777,0.46435285009398797,0.1677029267413649
clip10,128,65537,95426,3832,0.040156770691425814,0.8199352355450071,0.27766569255144513,6.91454237406425,0.13220295568111326,0.03265113761710446,120,0.962368746463228,0.47504893669424875,0.17227756705149666
clip10,256,13,95426,3832,0.040156770691425814,0.8450375546519786,0.32383941396705623,8.064378892802795,0.12493112828940807,0.03122673183341307,233,0.9491228805566617,0.5308811849398589,0.2111307492178247
clip10,256,42,95426,3832,0.040156770691425814,0.8461295941885317,0.3141227194278492,7.822409870595496,0.12515353070502838,0.031515524433586704,235,0.9565212835076394,0.537157829825137,0.21202891420304423
clip10,256,2026,95426,3832,0.040156770691425814,0.8392640359017418,0.32278619909918027,8.038151313997489,0.1259425019726111,0.031232564179445844,231,0.9310670047995305,0.5158650680016261,0.20436956795032776
clip10,256,31415,95426,3832,0.040156770691425814,0.8380667079276919,0.3218550786119763,8.014964178399389,0.1256011632060472,0.03117442278799533,239,0.9697566700899126,0.5203255026892484,0.20479634107480993
clip10,256,65537,95426,3832,0.040156770691425814,0.83370077207836,0.32226774214315174,8.025240491062736,0.12699328192431822,0.0312827805288395,232,0.9718630142728397,0.5046842142040393,0.19815418322438794
rank_gaussian,128,13,95426,3832,0.040156770691425814,0.8412197397811154,0.3195215906622037,7.956854726130337,0.1253496865263538,0.031208826559708757,122,0.9719468488671851,0.5157089173186563,0.19703293400598954
rank_gaussian,128,42,95426,3832,0.040156770691425814,0.8360627089785306,0.30364958634994926,7.561603712690569,0.12777389842247341,0.03190094458485179,125,0.9910716157022195,0.5174861418046411,0.19119042565731958
rank_gaussian,128,2026,95426,3832,0.040156770691425814,0.8239839199953978,0.3043575518762606,7.579233754004188,0.12932196024280607,0.03179475700762136,120,0.9773332215538743,0.48179453681102224,0.17962412590540677
rank_gaussian,128,31415,95426,3832,0.040156770691425814,0.8263223048222749,0.3140083439453062,7.819561646483505,0.12693723881859922,0.031090852901503693,126,0.9899084107056777,0.4847290156125305,0.18375092772964574
rank_gaussian,128,65537,95426,3832,0.040156770691425814,0.8258221754845964,0.3031409542998288,7.548937553500904,0.1288793147304161,0.03170862978011002,123,0.980906671137845,0.4780971292908403,0.17998850946142836
